exon_label	exon_number	protein_start_aa	protein_end_aa	length_aa	genomic_start	genomic_end	transcript_id
E1	1	1	56	56			XM_029080810.2
E2	2	56	145	90			XM_029080810.2
E3	3	145	170	26			XM_029080810.2
E4	4	170	226	57			XM_029080810.2
E5	5	227	268	42			XM_029080810.2
E6	6	268	331	64			XM_029080810.2
E7	7	332	380	49			XM_029080810.2
E8	8	380	447	68			XM_029080810.2
E9	9	448	498	51			XM_029080810.2
E10	10	498	539	42			XM_029080810.2
E11	11	539	576	38			XM_029080810.2
E12	12	576	639	64			XM_029080810.2
E13	13	640	680	41			XM_029080810.2
E14	14	681	704	24			XM_029080810.2
E15	15	704	750	47			XM_029080810.2
E16	16	750	785	36			XM_029080810.2
E17	17	786	840	55			XM_029080810.2
