protein_id	transcript_id	model_role	exon_label	exon_number	genomic_start	genomic_end	protein_start_aa	protein_end_aa	exon_identity	reference_exon_label	junction_aa
NP_001276668.1	NM_001289739.2	primary	E1	1	152671347	152671910	1	188	primary		
NP_001276668.1	NM_001289739.2	primary	E2	2	152609237	152609379	189	235	primary		
NP_001276645.1	NM_001289716.2	alternative	E1	1	152671347	152671910	1	188	shared	E1	
NP_001276645.1	NM_001289716.2	alternative	E2	2	152624065	152624202	189	233	alternative	E2	
NP_001276645.1	NM_001289716.2	alternative			152609237	152609379			missing	E2	188
NP_001276646.1	NM_001289717.2	alternative	E1	1	152671347	152671910	1	188	shared	E1	
NP_001276646.1	NM_001289717.2	alternative	E2	2	152624065	152624202	189	233	alternative	E2	
NP_001276646.1	NM_001289717.2	alternative			152609237	152609379			missing	E2	188
NP_001341982.1	NM_001355053.2	alternative	E1	1	152671347	152671910	1	188	shared	E1	
NP_001341982.1	NM_001355053.2	alternative	E2	2	152624065	152624202	189	233	alternative	E2	
NP_001341982.1	NM_001355053.2	alternative			152609237	152609379			missing	E2	188
NP_001403825.1	NM_001416896.1	alternative	E1	1	152671347	152671910	1	188	shared	E1	
NP_001403825.1	NM_001416896.1	alternative	E2	2	152624065	152624202	189	233	alternative	E2	
NP_001403825.1	NM_001416896.1	alternative			152609237	152609379			missing	E2	188
NP_001403826.1	NM_001416897.1	alternative	E1	1	152671347	152671910	1	188	shared	E1	
NP_001403826.1	NM_001416897.1	alternative	E2	2	152624065	152624202	189	233	alternative	E2	
NP_001403826.1	NM_001416897.1	alternative			152609237	152609379			missing	E2	188
NP_001403827.1	NM_001416898.1	alternative	E1	1	152671347	152671910	1	188	shared	E1	
NP_001403827.1	NM_001416898.1	alternative	E2	2	152624065	152624202	189	233	alternative	E2	
NP_001403827.1	NM_001416898.1	alternative			152609237	152609379			missing	E2	188
NP_001403828.1	NM_001416899.1	alternative	E1	1	152671347	152671910	1	188	shared	E1	
NP_001403828.1	NM_001416899.1	alternative	E2	2	152624065	152624202	189	233	alternative	E2	
NP_001403828.1	NM_001416899.1	alternative			152609237	152609379			missing	E2	188
NP_033873.3	NM_009743.6	alternative	E1	1	152671347	152671910	1	188	shared	E1	
NP_033873.3	NM_009743.6	alternative	E2	2	152624065	152624202	189	233	alternative	E2	
NP_033873.3	NM_009743.6	alternative			152609237	152609379			missing	E2	188
