comparable_boundary_group_id	mapping_method	mapping_status	group_n_species	group_species_coverage	group_msa_column	run_id	species_id	scientific_name	protein_id	transcript_id	boundary_id	left_exon_id	right_exon_id	exon_transition	native_protein_position	msa_column	msa_mapping_status	nearest_domain_instance_id	nearest_domain_accession	nearest_domain_label	nearest_edge	nearest_edge_position	signed_distance	absolute_distance	boundary_class	domain_annotation_available	mapping_confidence	review_reason
CBG1	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	5	2026-08-02_1910_ptpn11_3species	homo_sapiens	Homo Sapiens	NP_001317366.1	NM_001330437.2	NP_001317366.1:cds1_end	NP_001317366.1:cds1	NP_001317366.1:cds2	E1 → E2	5	5	mapped	IPR000980:4-102	IPR000980	SH2 1	start	4	1	1	near_domain_edge	True	1.0	
CBG1	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	5	2026-08-02_1910_ptpn11_3species	mus_musculus	Mus Musculus	NP_035332.1	NM_011202.3	NP_035332.1:cds1_end	NP_035332.1:cds1	NP_035332.1:cds2	E1 → E2	5	5	mapped	IPR000980:4-102	IPR000980	SH2 1	start	4	1	1	near_domain_edge	True	1.0	
CBG1	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	5	2026-08-02_1910_ptpn11_3species	rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NM_001177593.1	NP_001171064.1:cds1_end	NP_001171064.1:cds1	NP_001171064.1:cds2	E1 → E2	5	5	mapped	IPR000980:4-102	IPR000980	SH2 1	start	4	1	1	near_domain_edge	True	1.0	
CBG2	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	46	2026-08-02_1910_ptpn11_3species	homo_sapiens	Homo Sapiens	NP_001317366.1	NM_001330437.2	NP_001317366.1:cds2_end	NP_001317366.1:cds2	NP_001317366.1:cds3	E2 → E3	46	46	mapped	IPR000980:4-102	IPR000980	SH2 1	start	4	42	42	inside_domain	True	1.0	
CBG2	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	46	2026-08-02_1910_ptpn11_3species	mus_musculus	Mus Musculus	NP_035332.1	NM_011202.3	NP_035332.1:cds2_end	NP_035332.1:cds2	NP_035332.1:cds3	E2 → E3	46	46	mapped	IPR000980:4-102	IPR000980	SH2 1	start	4	42	42	inside_domain	True	1.0	
CBG2	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	46	2026-08-02_1910_ptpn11_3species	rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NM_001177593.1	NP_001171064.1:cds2_end	NP_001171064.1:cds2	NP_001171064.1:cds3	E2 → E3	46	46	mapped	IPR000980:4-102	IPR000980	SH2 1	start	4	42	42	inside_domain	True	1.0	
CBG3	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	111	2026-08-02_1910_ptpn11_3species	homo_sapiens	Homo Sapiens	NP_001317366.1	NM_001330437.2	NP_001317366.1:cds3_end	NP_001317366.1:cds3	NP_001317366.1:cds4	E3 → E4	111	111	mapped	IPR000980:110-216	IPR000980	SH2 2	start	110	1	1	near_domain_edge	True	1.0	
CBG3	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	111	2026-08-02_1910_ptpn11_3species	mus_musculus	Mus Musculus	NP_035332.1	NM_011202.3	NP_035332.1:cds3_end	NP_035332.1:cds3	NP_035332.1:cds4	E3 → E4	111	111	mapped	IPR000980:110-216	IPR000980	SH2 2	start	110	1	1	near_domain_edge	True	1.0	
CBG3	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	111	2026-08-02_1910_ptpn11_3species	rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NM_001177593.1	NP_001171064.1:cds3_end	NP_001171064.1:cds3	NP_001171064.1:cds4	E3 → E4	111	111	mapped	IPR000980:110-216	IPR000980	SH2 2	start	110	1	1	near_domain_edge	True	1.0	
CBG4	msa_aligned_position	supported_comparable	3	homo_sapiens,mus_musculus,rattus_norvegicus	175	2026-08-02_1910_ptpn11_3species	homo_sapiens	Homo Sapiens	NP_001317366.1	NM_001330437.2	NP_001317366.1:cds4_end	NP_001317366.1:cds4	NP_001317366.1:cds5	E4 → E5	175	175	mapped	IPR000980:110-216	IPR000980	SH2 2	end	216	-41	41	inside_domain	True	1.0	
