species_id	protein_id	layer	interpro_accession	interpro_name	interpro_type	start_aa	end_aa	member_databases	supporting_interpro	n_signatures	representative_signature	score_or_evalue	domain_source	domain_id	domain_name	feature_type	interpro_description
homo_sapiens	NP_001304849.1	domain	IPR003093	Bcl2_BH4	DOMAIN	1	27	PFAM,PROSITE_PROFILES,SMART	IPR003093:Bcl2_BH4	3	PF02180	1.1e-12	PFAM,PROSITE_PROFILES,SMART	IPR003093	Bcl2_BH4	domain	Bcl2_BH4
homo_sapiens	NP_001304849.1	domain	IPR046371	Bcl-2_BH1-3	DOMAIN	90	188	PFAM,SMART	IPR046371:Bcl-2_BH1-3	2	PF00452	3.2e-50	PFAM,SMART	IPR046371	Bcl-2_BH1-3	domain	Bcl-2_BH1-3
homo_sapiens	NP_001304849.1	family	IPR013279	Apop_reg_BclX	FAMILY	1	129	PRINTS		0			PRINTS	IPR013279	Apop_reg_BclX	family	Apop_reg_BclX
homo_sapiens	NP_001304849.1	family	IPR036834	Bcl-2-like_sf	HOMOLOGOUS_SUPERFAMILY	1	209	GENE3D,SUPERFAMILY		0			GENE3D,SUPERFAMILY	IPR036834	Bcl-2-like_sf	family	Bcl-2-like_sf
homo_sapiens	NP_001304849.1	family	IPR004725	Bcl2/BclX	FAMILY	1	233	NCBIFAM		0			NCBIFAM	IPR004725	Bcl2/BclX	family	Bcl2/BclX
homo_sapiens	NP_001304849.1	family	IPR026298	Bcl-2_fam	FAMILY	2	211	CDD,PANTHER,PRINTS		0			CDD,PANTHER,PRINTS	IPR026298	Bcl-2_fam	family	Bcl-2_fam
homo_sapiens	NP_001304849.1	family	IPR002475	Bcl2-like	FAMILY	90	190	PROSITE_PROFILES		0			PROSITE_PROFILES	IPR002475	Bcl2-like	family	Bcl2-like
homo_sapiens	NP_001304849.1	feature	IPR020731	Bcl2_BH4_motif_CS	CONSERVED_SITE	4	24	PROSITE_PATTERNS		0			PROSITE_PATTERNS	IPR020731	Bcl2_BH4_motif_CS	feature	Bcl2_BH4_motif_CS
homo_sapiens	NP_001304849.1	feature		disorder_prediction	DISORDER	28	71	MOBIDB_LITE		0			MOBIDB_LITE		disorder_prediction	feature	disorder_prediction
homo_sapiens	NP_001304849.1	feature	IPR020728	Bcl2_BH3_motif_CS	CONSERVED_SITE	86	100	PROSITE_PATTERNS		0			PROSITE_PATTERNS	IPR020728	Bcl2_BH3_motif_CS	feature	Bcl2_BH3_motif_CS
homo_sapiens	NP_001304849.1	feature	IPR020717	Bcl2_BH1_motif_CS	CONSERVED_SITE	130	148	PROSITE_PATTERNS		0			PROSITE_PATTERNS	IPR020717	Bcl2_BH1_motif_CS	feature	Bcl2_BH1_motif_CS
homo_sapiens	NP_001304849.1	feature	IPR020726	Bcl2_BH2_motif_CS	CONSERVED_SITE	181	192	PROSITE_PATTERNS		0			PROSITE_PATTERNS	IPR020726	Bcl2_BH2_motif_CS	feature	Bcl2_BH2_motif_CS
mus_musculus	NP_001276668.1	domain	IPR003093	Bcl2_BH4	DOMAIN	1	27	PFAM,PROSITE_PROFILES,SMART	IPR003093:Bcl2_BH4	3	PF02180	1.1e-12	PFAM,PROSITE_PROFILES,SMART	IPR003093	Bcl2_BH4	domain	Bcl2_BH4
mus_musculus	NP_001276668.1	domain	IPR046371	Bcl-2_BH1-3	DOMAIN	90	188	PFAM,SMART	IPR046371:Bcl-2_BH1-3	2	PF00452	2.3e-50	PFAM,SMART	IPR046371	Bcl-2_BH1-3	domain	Bcl-2_BH1-3
mus_musculus	NP_001276668.1	family	IPR013279	Apop_reg_BclX	FAMILY	1	129	PRINTS		0			PRINTS	IPR013279	Apop_reg_BclX	family	Apop_reg_BclX
mus_musculus	NP_001276668.1	family	IPR036834	Bcl-2-like_sf	HOMOLOGOUS_SUPERFAMILY	1	191	GENE3D,SUPERFAMILY		0			GENE3D,SUPERFAMILY	IPR036834	Bcl-2-like_sf	family	Bcl-2-like_sf
mus_musculus	NP_001276668.1	family	IPR026298	Bcl-2_fam	FAMILY	2	209	CDD,PANTHER,PRINTS		0			CDD,PANTHER,PRINTS	IPR026298	Bcl-2_fam	family	Bcl-2_fam
mus_musculus	NP_001276668.1	family	IPR002475	Bcl2-like	FAMILY	90	190	PROSITE_PROFILES		0			PROSITE_PROFILES	IPR002475	Bcl2-like	family	Bcl2-like
mus_musculus	NP_001276668.1	feature	IPR020731	Bcl2_BH4_motif_CS	CONSERVED_SITE	4	24	PROSITE_PATTERNS		0			PROSITE_PATTERNS	IPR020731	Bcl2_BH4_motif_CS	feature	Bcl2_BH4_motif_CS
mus_musculus	NP_001276668.1	feature		disorder_prediction	DISORDER	27	73	MOBIDB_LITE		0			MOBIDB_LITE		disorder_prediction	feature	disorder_prediction
mus_musculus	NP_001276668.1	feature	IPR020728	Bcl2_BH3_motif_CS	CONSERVED_SITE	86	100	PROSITE_PATTERNS		0			PROSITE_PATTERNS	IPR020728	Bcl2_BH3_motif_CS	feature	Bcl2_BH3_motif_CS
mus_musculus	NP_001276668.1	feature	IPR020717	Bcl2_BH1_motif_CS	CONSERVED_SITE	130	148	PROSITE_PATTERNS		0			PROSITE_PATTERNS	IPR020717	Bcl2_BH1_motif_CS	feature	Bcl2_BH1_motif_CS
