species_id	gene_symbol	transcript_a	transcript_b	protein_a	protein_b	coordinate_reference_protein	candidate_start_aa	candidate_end_aa	candidate_length_aa	candidate_type	evidence	confidence	notes
homo_sapiens	BCL2L1	NM_001317920.2	NM_001191.4	NP_001304849.1	NP_001182.1	NP_001304849.1	126	188	63	deletion	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
homo_sapiens	BCL2L1	NM_001322239.2	NM_001191.4	NP_001309168.1	NP_001182.1	NP_001309168.1	126	188	63	deletion	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
homo_sapiens	BCL2L1	NM_001317921.2	NM_001191.4	NP_001304850.1	NP_001182.1	NP_001304850.1	126	188	63	deletion	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
homo_sapiens	BCL2L1	NM_001322240.2	NM_001191.4	NP_001309169.1	NP_001182.1	NP_001309169.1	126	188	63	deletion	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
homo_sapiens	BCL2L1	NM_001317919.2	NM_001191.4	NP_001304848.1	NP_001182.1	NP_001304848.1	126	188	63	deletion	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
homo_sapiens	BCL2L1	NM_001191.4	NM_138578.3	NP_001182.1	NP_612815.1	NP_612815.1	126	188	63	insertion	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
homo_sapiens	BCL2L1	NM_001191.4	NM_001424331.1	NP_001182.1	NP_001411260.1	NP_001411260.1	126	188	63	insertion	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
homo_sapiens	BCL2L1	NM_001191.4	NM_001424332.1	NP_001182.1	NP_001411261.1	NP_001411261.1	126	188	63	insertion	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
homo_sapiens	BCL2L1	NM_001191.4	NM_001322242.2	NP_001182.1	NP_001309171.1	NP_001309171.1	126	188	63	insertion	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_009743.6	NP_001276668.1	NP_033873.3	NP_033873.3	189	221	33	insertion	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_009743.6	NP_001276668.1	NP_033873.3	NP_001276668.1	191	191	1	substitution_block	isoform_sequence_diff	low	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_009743.6	NP_001276668.1	NP_033873.3	NP_001276668.1	193	216	24	deletion	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_009743.6	NP_001276668.1	NP_033873.3	NP_001276668.1	219	225	7	substitution_block	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_009743.6	NP_001276668.1	NP_033873.3	NP_001276668.1	227	235	9	substitution_block	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_001416897.1	NP_001276668.1	NP_001403826.1	NP_001403826.1	189	221	33	insertion	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_001416897.1	NP_001276668.1	NP_001403826.1	NP_001276668.1	191	191	1	substitution_block	isoform_sequence_diff	low	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_001416897.1	NP_001276668.1	NP_001403826.1	NP_001276668.1	193	216	24	deletion	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_001416897.1	NP_001276668.1	NP_001403826.1	NP_001276668.1	219	225	7	substitution_block	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_001416897.1	NP_001276668.1	NP_001403826.1	NP_001276668.1	227	235	9	substitution_block	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_001416896.1	NP_001276668.1	NP_001403825.1	NP_001403825.1	189	221	33	insertion	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_001416896.1	NP_001276668.1	NP_001403825.1	NP_001276668.1	191	191	1	substitution_block	isoform_sequence_diff	low	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_001416896.1	NP_001276668.1	NP_001403825.1	NP_001276668.1	193	216	24	deletion	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_001416896.1	NP_001276668.1	NP_001403825.1	NP_001276668.1	219	225	7	substitution_block	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_001416896.1	NP_001276668.1	NP_001403825.1	NP_001276668.1	227	235	9	substitution_block	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_001416898.1	NP_001276668.1	NP_001403827.1	NP_001403827.1	189	221	33	insertion	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_001416898.1	NP_001276668.1	NP_001403827.1	NP_001276668.1	191	191	1	substitution_block	isoform_sequence_diff	low	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_001416898.1	NP_001276668.1	NP_001403827.1	NP_001276668.1	193	216	24	deletion	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_001416898.1	NP_001276668.1	NP_001403827.1	NP_001276668.1	219	225	7	substitution_block	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_001416898.1	NP_001276668.1	NP_001403827.1	NP_001276668.1	227	235	9	substitution_block	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_001289717.2	NP_001276668.1	NP_001276646.1	NP_001276646.1	189	221	33	insertion	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_001289717.2	NP_001276668.1	NP_001276646.1	NP_001276668.1	191	191	1	substitution_block	isoform_sequence_diff	low	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_001289717.2	NP_001276668.1	NP_001276646.1	NP_001276668.1	193	216	24	deletion	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_001289717.2	NP_001276668.1	NP_001276646.1	NP_001276668.1	219	225	7	substitution_block	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_001289717.2	NP_001276668.1	NP_001276646.1	NP_001276668.1	227	235	9	substitution_block	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_001289716.2	NP_001276668.1	NP_001276645.1	NP_001276645.1	189	221	33	insertion	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_001289716.2	NP_001276668.1	NP_001276645.1	NP_001276668.1	191	191	1	substitution_block	isoform_sequence_diff	low	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_001289716.2	NP_001276668.1	NP_001276645.1	NP_001276668.1	193	216	24	deletion	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_001289716.2	NP_001276668.1	NP_001276645.1	NP_001276668.1	219	225	7	substitution_block	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_001289716.2	NP_001276668.1	NP_001276645.1	NP_001276668.1	227	235	9	substitution_block	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_001355053.2	NP_001276668.1	NP_001341982.1	NP_001341982.1	189	221	33	insertion	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_001355053.2	NP_001276668.1	NP_001341982.1	NP_001276668.1	191	191	1	substitution_block	isoform_sequence_diff	low	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_001355053.2	NP_001276668.1	NP_001341982.1	NP_001276668.1	193	216	24	deletion	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_001355053.2	NP_001276668.1	NP_001341982.1	NP_001276668.1	219	225	7	substitution_block	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_001355053.2	NP_001276668.1	NP_001341982.1	NP_001276668.1	227	235	9	substitution_block	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_001416899.1	NP_001276668.1	NP_001403828.1	NP_001403828.1	189	221	33	insertion	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_001416899.1	NP_001276668.1	NP_001403828.1	NP_001276668.1	191	191	1	substitution_block	isoform_sequence_diff	low	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_001416899.1	NP_001276668.1	NP_001403828.1	NP_001276668.1	193	216	24	deletion	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_001416899.1	NP_001276668.1	NP_001403828.1	NP_001276668.1	219	225	7	substitution_block	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
mus_musculus	BCL2L1	NM_001289739.2	NM_001416899.1	NP_001276668.1	NP_001403828.1	NP_001276668.1	227	235	9	substitution_block	isoform_sequence_diff	medium	Exploratory candidate; not a validated event region.
