analysis_id	gene_symbol	species_id	event_candidate_id	evidence_source	evidence_status	transcript_a	transcript_b	protein_a	protein_b	region_start_aa	region_end_aa	region_length_aa	event_type_candidate	exon_aligned	confidence	confidence_reason	notes
PTPN11_core_only_pilot	PTPN11	homo_sapiens	PTPN11:homo_sapiens:409-412:001	protein_isoform_difference	exploratory	NM_001330437.2	NM_002834.5	NP_001317366.1	NP_002825.3	409	412	4	deletion	no	low	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
PTPN11_core_only_pilot	PTPN11	homo_sapiens	PTPN11:homo_sapiens:46-46:002	protein_isoform_difference	exploratory	NM_001330437.2	XM_011538613.3	NP_001317366.1	XP_011536915.1	46	46	1	deletion	no	low	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
PTPN11_core_only_pilot	PTPN11	homo_sapiens	PTPN11:homo_sapiens:46-46:003	protein_isoform_difference	exploratory	NM_001330437.2	NM_001374625.1	NP_001317366.1	NP_001361554.1	46	46	1	deletion	no	low	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
PTPN11_core_only_pilot	PTPN11	homo_sapiens	PTPN11:homo_sapiens:409-412:004	protein_isoform_difference	exploratory	NM_001330437.2	NM_001374625.1	NP_001317366.1	NP_001361554.1	409	412	4	deletion	no	low	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
PTPN11_core_only_pilot	PTPN11	homo_sapiens	PTPN11:homo_sapiens:409-412:005	protein_isoform_difference	exploratory	NM_001330437.2	NM_080601.3	NP_001317366.1	NP_542168.1	409	412	4	deletion	no	low	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
PTPN11_core_only_pilot	PTPN11	homo_sapiens	PTPN11:homo_sapiens:464-468:006	protein_isoform_difference	exploratory	NM_001330437.2	NM_080601.3	NP_001317366.1	NP_542168.1	464	468	5	deletion	no	low	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
PTPN11_core_only_pilot	PTPN11	homo_sapiens	PTPN11:homo_sapiens:470-597:007	protein_isoform_difference	exploratory	NM_001330437.2	NM_080601.3	NP_001317366.1	NP_542168.1	470	597	128	deletion	no	low	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
PTPN11_core_only_pilot	PTPN11	homo_sapiens	PTPN11:homo_sapiens:46-46:008	protein_isoform_difference	exploratory	NM_002834.5	XM_011538613.3	NP_002825.3	XP_011536915.1	46	46	1	deletion	no	low	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
PTPN11_core_only_pilot	PTPN11	homo_sapiens	PTPN11:homo_sapiens:408-411:009	protein_isoform_difference	exploratory	NM_002834.5	XM_011538613.3	NP_002825.3	XP_011536915.1	408	411	4	insertion	no	low	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
PTPN11_core_only_pilot	PTPN11	homo_sapiens	PTPN11:homo_sapiens:46-46:010	protein_isoform_difference	exploratory	NM_002834.5	NM_001374625.1	NP_002825.3	NP_001361554.1	46	46	1	deletion	no	low	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
PTPN11_core_only_pilot	PTPN11	homo_sapiens	PTPN11:homo_sapiens:460-464:011	protein_isoform_difference	exploratory	NM_002834.5	NM_080601.3	NP_002825.3	NP_542168.1	460	464	5	deletion	no	low	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
PTPN11_core_only_pilot	PTPN11	homo_sapiens	PTPN11:homo_sapiens:466-593:012	protein_isoform_difference	exploratory	NM_002834.5	NM_080601.3	NP_002825.3	NP_542168.1	466	593	128	deletion	no	low	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
PTPN11_core_only_pilot	PTPN11	homo_sapiens	PTPN11:homo_sapiens:408-411:013	protein_isoform_difference	exploratory	XM_011538613.3	NM_001374625.1	XP_011536915.1	NP_001361554.1	408	411	4	deletion	no	low	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
PTPN11_core_only_pilot	PTPN11	homo_sapiens	PTPN11:homo_sapiens:46-46:014	protein_isoform_difference	exploratory	XM_011538613.3	NM_080601.3	XP_011536915.1	NP_542168.1	46	46	1	insertion	no	low	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
PTPN11_core_only_pilot	PTPN11	homo_sapiens	PTPN11:homo_sapiens:408-411:015	protein_isoform_difference	exploratory	XM_011538613.3	NM_080601.3	XP_011536915.1	NP_542168.1	408	411	4	deletion	no	low	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
PTPN11_core_only_pilot	PTPN11	homo_sapiens	PTPN11:homo_sapiens:463-467:016	protein_isoform_difference	exploratory	XM_011538613.3	NM_080601.3	XP_011536915.1	NP_542168.1	463	467	5	deletion	no	low	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
PTPN11_core_only_pilot	PTPN11	homo_sapiens	PTPN11:homo_sapiens:469-596:017	protein_isoform_difference	exploratory	XM_011538613.3	NM_080601.3	XP_011536915.1	NP_542168.1	469	596	128	deletion	no	low	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
PTPN11_core_only_pilot	PTPN11	homo_sapiens	PTPN11:homo_sapiens:46-46:018	protein_isoform_difference	exploratory	NM_001374625.1	NM_080601.3	NP_001361554.1	NP_542168.1	46	46	1	insertion	no	low	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
PTPN11_core_only_pilot	PTPN11	homo_sapiens	PTPN11:homo_sapiens:459-463:019	protein_isoform_difference	exploratory	NM_001374625.1	NM_080601.3	NP_001361554.1	NP_542168.1	459	463	5	deletion	no	low	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
PTPN11_core_only_pilot	PTPN11	homo_sapiens	PTPN11:homo_sapiens:465-592:020	protein_isoform_difference	exploratory	NM_001374625.1	NM_080601.3	NP_001361554.1	NP_542168.1	465	592	128	deletion	no	low	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
PTPN11_core_only_pilot	PTPN11	mus_musculus	PTPN11:mus_musculus:409-412:021	protein_isoform_difference	exploratory	NM_001109992.1	NM_011202.3	NP_001103462.1	NP_035332.1	409	412	4	insertion	no	low	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
PTPN11_core_only_pilot	PTPN11	rattus_norvegicus	PTPN11:rattus_norvegicus:409-412:022	protein_isoform_difference	exploratory	NM_001177593.1	NM_013088.2	NP_001171064.1	NP_037220.2	409	412	4	deletion	no	low	Protein-level isoform sequence difference only; exploratory, not a validated event.	Exploratory candidate; not a validated event region.
