transition	boundary_position_aa	left_exon	right_exon	nearest_domain_instance_id	nearest_domain_accession	nearest_domain_label	nearest_domain_start	nearest_domain_end	nearest_edge	nearest_edge_position	signed_distance_aa	absolute_distance_aa	boundary_class
E1 → E2	55	E1	E2	IPR007110:64-128	IPR007110	Ig1	64	128	start	64	-9	9	outside_annotated_domains
E2 → E3	91	E2	E3	IPR007110:64-128	IPR007110	Ig1	64	128	start	64	27	27	inside_domain
E3 → E4	137	E3	E4	IPR007110:64-128	IPR007110	Ig1	64	128	end	128	9	9	outside_annotated_domains
E4 → E5	160	E4	E5	IPR013098:190-267	IPR013098	Ig2	190	267	start	190	-30	30	outside_annotated_domains
E5 → E6	201	E5	E6	IPR013098:190-267	IPR013098	Ig2	190	267	start	190	11	11	inside_domain
E6 → E7	265	E6	E7	IPR013098:190-267	IPR013098	Ig2	190	267	end	267	-2	2	near_domain_edge
E7 → E8	302	E7	E8	IPR007110:285-365	IPR007110	Ig3	285	365	start	285	17	17	inside_domain
E8 → E9	343	E8	E9	IPR007110:285-365	IPR007110	Ig3	285	365	end	365	-22	22	inside_domain
E9 → E10	393	E9	E10	IPR007110:285-365	IPR007110	Ig3	285	365	end	365	28	28	outside_annotated_domains
E10 → E11	461	E10	E11	IPR001245:456-789	IPR001245	kinase	456	789	start	456	5	5	near_domain_edge
E11 → E12	510	E11	E12	IPR001245:456-789	IPR001245	kinase	456	789	start	456	54	54	inside_domain
E12 → E13	574	E12	E13	IPR001245:456-789	IPR001245	kinase	456	789	start	456	118	118	inside_domain
E13 → E14	615	E13	E14	IPR001245:456-789	IPR001245	kinase	456	789	start	456	159	159	inside_domain
E14 → E15	672	E14	E15	IPR001245:456-789	IPR001245	kinase	456	789	end	789	-117	117	inside_domain
E15 → E16	698	E15	E16	IPR001245:456-789	IPR001245	kinase	456	789	end	789	-91	91	inside_domain
E16 → E17	787	E16	E17	IPR001245:456-789	IPR001245	kinase	456	789	end	789	-2	2	near_domain_edge
