exon_label	exon_number	protein_start_aa	protein_end_aa	length_aa	genomic_start	genomic_end	transcript_id
E1	1	1	56	56			XM_054660539.2
E2	2	56	145	90			XM_054660539.2
E3	3	145	171	27			XM_054660539.2
E4	4	171	227	57			XM_054660539.2
E5	5	228	269	42			XM_054660539.2
E6	6	269	332	64			XM_054660539.2
E7	7	333	382	50			XM_054660539.2
E8	8	382	450	69			XM_054660539.2
E9	9	450	500	51			XM_054660539.2
E10	10	500	541	42			XM_054660539.2
E11	11	541	578	38			XM_054660539.2
E12	12	578	641	64			XM_054660539.2
E13	13	642	682	41			XM_054660539.2
E14	14	683	706	24			XM_054660539.2
E15	15	706	752	47			XM_054660539.2
E16	16	752	787	36			XM_054660539.2
E17	17	788	840	53			XM_054660539.2
