exon_label	exon_number	protein_start_aa	protein_end_aa	length_aa	genomic_start	genomic_end	transcript_id
E1	1	1	55	55			ENSTRUT00000045297
E2	2	56	91	36			ENSTRUT00000045297
E3	3	91	137	47			ENSTRUT00000045297
E4	4	137	160	24			ENSTRUT00000045297
E5	5	161	201	41			ENSTRUT00000045297
E6	6	202	265	64			ENSTRUT00000045297
E7	7	265	302	38			ENSTRUT00000045297
E8	8	302	343	42			ENSTRUT00000045297
E9	9	343	389	47			ENSTRUT00000045297
E10	10	390	456	67			ENSTRUT00000045297
E11	11	456	502	47			ENSTRUT00000045297
E12	12	503	566	64			ENSTRUT00000045297
E13	13	566	607	42			ENSTRUT00000045297
E14	14	608	666	59			ENSTRUT00000045297
E15	15	666	691	26			ENSTRUT00000045297
E16	16	691	777	87			ENSTRUT00000045297
E17	17	777	837	61			ENSTRUT00000045297
