transition	boundary_position_aa	left_exon	right_exon	nearest_domain_instance_id	nearest_domain_accession	nearest_domain_label	nearest_domain_start	nearest_domain_end	nearest_edge	nearest_edge_position	signed_distance_aa	absolute_distance_aa	boundary_class
E1 → E2	7	E1	E2	IPR007110:102-166	IPR007110	Ig1	102	166	start	102	-95	95	outside_annotated_domains
E2 → E3	94	E2	E3	IPR007110:102-166	IPR007110	Ig1	102	166	start	102	-8	8	outside_annotated_domains
E3 → E4	179	E3	E4	IPR007110:102-166	IPR007110	Ig1	102	166	end	166	13	13	outside_annotated_domains
E4 → E5	204	E4	E5	IPR013098:223-300	IPR013098	Ig2	223	300	start	223	-19	19	outside_annotated_domains
E5 → E6	260	E5	E6	IPR013098:223-300	IPR013098	Ig2	223	300	start	223	37	37	inside_domain
E6 → E7	302	E6	E7	IPR013098:223-300	IPR013098	Ig2	223	300	end	300	2	2	near_domain_edge
E7 → E8	365	E7	E8	IPR013098:315-411	IPR013098	Ig3	315	411	end	411	-46	46	inside_domain
E8 → E9	414	E8	E9	IPR013098:315-411	IPR013098	Ig3	315	411	end	411	3	3	near_domain_edge
E9 → E10	482	E9	E10	IPR001245:489-822	IPR001245	kinase	489	822	start	489	-7	7	outside_annotated_domains
E10 → E11	532	E10	E11	IPR001245:489-822	IPR001245	kinase	489	822	start	489	43	43	inside_domain
E11 → E12	573	E11	E12	IPR001245:489-822	IPR001245	kinase	489	822	start	489	84	84	inside_domain
E12 → E13	610	E12	E13	IPR001245:489-822	IPR001245	kinase	489	822	start	489	121	121	inside_domain
E13 → E14	673	E13	E14	IPR001245:489-822	IPR001245	kinase	489	822	end	822	-149	149	inside_domain
E14 → E15	714	E14	E15	IPR001245:489-822	IPR001245	kinase	489	822	end	822	-108	108	inside_domain
E15 → E16	738	E15	E16	IPR001245:489-822	IPR001245	kinase	489	822	end	822	-84	84	inside_domain
E16 → E17	784	E16	E17	IPR001245:489-822	IPR001245	kinase	489	822	end	822	-38	38	inside_domain
E17 → E18	819	E17	E18	IPR001245:489-822	IPR001245	kinase	489	822	end	822	-3	3	near_domain_edge
