species	isoform	final_claim_status_after_rescue	pre_interpro_readiness_class	rescue_decision	visual_review_flag	final_plot_status	source_coordinate_table	final_isoform_label	protein_length	native_cassette_start_aa	native_cassette_end_aa
homo_sapiens	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	822	314	359
homo_sapiens	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	821	314	361
pan_troglodytes	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	841	333	378
pan_troglodytes	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	840	333	380
gorilla_gorilla_gorilla	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	670	225	270
gorilla_gorilla_gorilla	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	rescued_with_external_validated_candidate_pair	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	723	218	265
pongo_abelii	IIIb	supplement_review	supplement_review_only	sequence_support_only_keep_supplement	true	supplement_review	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	838	334	380
pongo_abelii	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	838	333	380
macaca_mulatta	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	839	333	378
macaca_mulatta	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	838	333	380
callithrix_jacchus	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	841	333	378
callithrix_jacchus	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	840	333	380
mus_musculus	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	822	314	359
mus_musculus	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	840	333	380
rattus_norvegicus	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	841	333	378
rattus_norvegicus	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	840	333	380
oryctolagus_cuniculus	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	841	333	378
oryctolagus_cuniculus	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	840	333	380
canis_lupus_familiaris	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	rescued_with_external_validated_candidate	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	707	199	244
canis_lupus_familiaris	IIIc	supplement_review	supplement_review_only	sequence_support_only_keep_supplement	true	supplement_review	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	705	394	457
felis_catus	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	841	333	378
felis_catus	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	840	333	380
equus_caballus	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	887	383	428
equus_caballus	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	886	383	430
sus_scrofa	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	841	333	378
sus_scrofa	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	840	333	380
bos_taurus	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	841	333	378
bos_taurus	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	840	333	380
ovis_aries	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	841	333	378
ovis_aries	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	840	333	380
