exon_label	exon_number	protein_start_aa	protein_end_aa	length_aa	genomic_start	genomic_end	transcript_id
E1	1	1	57	57			XM_078931618.1
E2	2	57	143	87			XM_078931618.1
E3	3	143	168	26			XM_078931618.1
E4	4	168	224	57			XM_078931618.1
E5	5	225	266	42			XM_078931618.1
E6	6	266	329	64			XM_078931618.1
E7	7	330	376	47			XM_078931618.1
E8	8	376	442	67			XM_078931618.1
E9	9	443	489	47			XM_078931618.1
E10	10	489	530	42			XM_078931618.1
E11	11	530	567	38			XM_078931618.1
E12	12	567	630	64			XM_078931618.1
E13	13	631	671	41			XM_078931618.1
E14	14	672	695	24			XM_078931618.1
E15	15	695	741	47			XM_078931618.1
E16	16	741	776	36			XM_078931618.1
E17	17	777	831	55			XM_078931618.1
