safe_id	species	isoform	protein_id
alligator_mississippiensis__IIIb	alligator_mississippiensis	IIIb	XP_059586053.1
alligator_mississippiensis__IIIc	alligator_mississippiensis	IIIc	XP_006266188.1
ambystoma_mexicanum__IIIb	ambystoma_mexicanum	IIIb	XP_069468054.1
ambystoma_mexicanum__IIIc	ambystoma_mexicanum	IIIc	XP_069468056.1
anolis_carolinensis__IIIb	anolis_carolinensis	IIIb	XP_062832082.1
anolis_carolinensis__IIIc	anolis_carolinensis	IIIc	XP_062832081.1
bos_taurus__IIIb	bos_taurus	IIIb	XP_059737723.1
bos_taurus__IIIc	bos_taurus	IIIc	XP_059737724.1
callithrix_jacchus__IIIb	callithrix_jacchus	IIIb	XP_078202760.1
callithrix_jacchus__IIIc	callithrix_jacchus	IIIc	XP_078202765.1
chrysemys_picta_bellii__IIIb	chrysemys_picta_bellii	IIIb	XP_023965681.1
chrysemys_picta_bellii__IIIc	chrysemys_picta_bellii	IIIc	XP_065408413.1
danio_rerio__IIIb	danio_rerio	IIIb	XP_068081039.1
danio_rerio__IIIc	danio_rerio	IIIc	XP_068081038.1
equus_caballus__IIIb	equus_caballus	IIIb	XP_014588429.1
equus_caballus__IIIc	equus_caballus	IIIc	XP_014588430.1
felis_catus__IIIb	felis_catus	IIIb	XP_044896694.1
felis_catus__IIIc	felis_catus	IIIc	XP_044896695.1
gallus_gallus__IIIb	gallus_gallus	IIIb	XP_046798696.1
gallus_gallus__IIIc	gallus_gallus	IIIc	NP_990650.2
gasterosteus_aculeatus__IIIb	gasterosteus_aculeatus	IIIb	ENSGACP00000047216
gasterosteus_aculeatus__IIIc	gasterosteus_aculeatus	IIIc	ENSGACP00000061458
gorilla_gorilla_gorilla__IIIb	gorilla_gorilla_gorilla	IIIb	ENSGGOP00000051435
gorilla_gorilla_gorilla__IIIc	gorilla_gorilla_gorilla	IIIc	XP_004050253.1
homo_sapiens__IIIb	homo_sapiens	IIIb	ENSP00000813085
homo_sapiens__IIIc	homo_sapiens	IIIc	ENSP00000351276
macaca_mulatta__IIIb	macaca_mulatta	IIIb	XP_015003815.1
macaca_mulatta__IIIc	macaca_mulatta	IIIc	XP_077803775.1
meleagris_gallopavo__IIIb	meleagris_gallopavo	IIIb	ENSMGAP00000031353
meleagris_gallopavo__IIIc	meleagris_gallopavo	IIIc	ENSMGAP00000031571
monodelphis_domestica__IIIb	monodelphis_domestica	IIIb	XP_056659239.1
monodelphis_domestica__IIIc	monodelphis_domestica	IIIc	XP_056659242.1
mus_musculus__IIIb	mus_musculus	IIIb	ENSMUSP00000113180
mus_musculus__IIIc	mus_musculus	IIIc	ENSMUSP00000112430
oreochromis_niloticus__IIIb	oreochromis_niloticus	IIIb	ENSONIP00000060910
oreochromis_niloticus__IIIc	oreochromis_niloticus	IIIc	ENSONIP00000063320
ornithorhynchus_anatinus__IIIb	ornithorhynchus_anatinus	IIIb	XP_028936643.1
ornithorhynchus_anatinus__IIIc	ornithorhynchus_anatinus	IIIc	XP_028936644.1
oryctolagus_cuniculus__IIIb	oryctolagus_cuniculus	IIIb	XP_069913100.1
oryctolagus_cuniculus__IIIc	oryctolagus_cuniculus	IIIc	XP_069913096.1
oryzias_latipes__IIIb	oryzias_latipes	IIIb	XP_011483055.1
oryzias_latipes__IIIc	oryzias_latipes	IIIc	XP_078787744.1
ovis_aries__IIIb	ovis_aries	IIIb	XP_060260488.1
ovis_aries__IIIc	ovis_aries	IIIc	XP_060260490.1
pan_troglodytes__IIIb	pan_troglodytes	IIIb	XP_054516513.1
pan_troglodytes__IIIc	pan_troglodytes	IIIc	XP_054516514.1
rattus_norvegicus__IIIb	rattus_norvegicus	IIIb	XP_063137148.1
rattus_norvegicus__IIIc	rattus_norvegicus	IIIc	XP_063137149.1
sus_scrofa__IIIb	sus_scrofa	IIIb	XP_084849194.1
sus_scrofa__IIIc	sus_scrofa	IIIc	XP_084849197.1
taeniopygia_guttata__IIIb	taeniopygia_guttata	IIIb	XP_072787408.1
taeniopygia_guttata__IIIc	taeniopygia_guttata	IIIc	XP_072787409.1
takifugu_rubripes__IIIb	takifugu_rubripes	IIIb	ENSTRUP00000045146
takifugu_rubripes__IIIc	takifugu_rubripes	IIIc	ENSTRUP00000045145
xenopus_tropicalis__IIIb	xenopus_tropicalis	IIIb	ENSXETP00000087394
xenopus_tropicalis__IIIc	xenopus_tropicalis	IIIc	ENSXETP00000069725
