exon_label	exon_number	protein_start_aa	protein_end_aa	length_aa	genomic_start	genomic_end	transcript_id
E1	1	1	9	9			XM_014732943.3
E2	2	9	106	98			XM_014732943.3
E3	3	106	195	90			XM_014732943.3
E4	4	195	221	27			XM_014732943.3
E5	5	221	277	57			XM_014732943.3
E6	6	278	319	42			XM_014732943.3
E7	7	319	382	64			XM_014732943.3
E8	8	383	431	49			XM_014732943.3
E9	9	431	498	68			XM_014732943.3
E10	10	499	549	51			XM_014732943.3
E11	11	549	590	42			XM_014732943.3
E12	12	590	627	38			XM_014732943.3
E13	13	627	690	64			XM_014732943.3
E14	14	691	731	41			XM_014732943.3
E15	15	732	755	24			XM_014732943.3
E16	16	755	801	47			XM_014732943.3
E17	17	801	836	36			XM_014732943.3
E18	18	837	887	51			XM_014732943.3
