exon_label	exon_number	protein_start_aa	protein_end_aa	length_aa	genomic_start	genomic_end	transcript_id
E1	1	1	59	59			XM_059730070.1
E2	2	59	148	90			XM_059730070.1
E3	3	148	173	26			XM_059730070.1
E4	4	173	229	57			XM_059730070.1
E5	5	230	271	42			XM_059730070.1
E6	6	271	334	64			XM_059730070.1
E7	7	335	383	49			XM_059730070.1
E8	8	383	450	68			XM_059730070.1
E9	9	451	501	51			XM_059730070.1
E10	10	501	542	42			XM_059730070.1
E11	11	542	579	38			XM_059730070.1
E12	12	579	642	64			XM_059730070.1
E13	13	643	683	41			XM_059730070.1
E14	14	684	707	24			XM_059730070.1
E15	15	707	753	47			XM_059730070.1
E16	16	753	788	36			XM_059730070.1
E17	17	789	814	26			XM_059730070.1
E18	18	814	869	56			XM_059730070.1
