transition	boundary_position_aa	left_exon	right_exon	nearest_domain_instance_id	nearest_domain_accession	nearest_domain_label	nearest_domain_start	nearest_domain_end	nearest_edge	nearest_edge_position	signed_distance_aa	absolute_distance_aa	boundary_class
E1 → E2	39	E1	E2	IPR007110:104-165	IPR007110	Ig1	104	165	start	104	-65	65	outside_annotated_domains
E2 → E3	125	E2	E3	IPR007110:104-165	IPR007110	Ig1	104	165	start	104	21	21	inside_domain
E3 → E4	150	E3	E4	IPR007110:104-165	IPR007110	Ig1	104	165	end	165	-15	15	inside_domain
E4 → E5	206	E4	E5	IPR013098:223-301	IPR013098	Ig2	223	301	start	223	-17	17	outside_annotated_domains
E5 → E6	248	E5	E6	IPR013098:223-301	IPR013098	Ig2	223	301	start	223	25	25	inside_domain
E6 → E7	311	E6	E7	IPR013098:316-410	IPR013098	Ig3	316	410	start	316	-5	5	near_domain_edge
E7 → E8	360	E7	E8	IPR013098:316-410	IPR013098	Ig3	316	410	start	316	44	44	inside_domain
E8 → E9	424	E8	E9	IPR013098:316-410	IPR013098	Ig3	316	410	end	410	14	14	outside_annotated_domains
E9 → E10	471	E9	E10	IPR001245:484-814	IPR001245	kinase	484	814	start	484	-13	13	outside_annotated_domains
E10 → E11	512	E10	E11	IPR001245:484-814	IPR001245	kinase	484	814	start	484	28	28	inside_domain
E11 → E12	549	E11	E12	IPR001245:484-814	IPR001245	kinase	484	814	start	484	65	65	inside_domain
E12 → E13	612	E12	E13	IPR001245:484-814	IPR001245	kinase	484	814	start	484	128	128	inside_domain
E13 → E14	653	E13	E14	IPR001245:484-814	IPR001245	kinase	484	814	end	814	-161	161	inside_domain
E14 → E15	677	E14	E15	IPR001245:484-814	IPR001245	kinase	484	814	end	814	-137	137	inside_domain
E15 → E16	723	E15	E16	IPR001245:484-814	IPR001245	kinase	484	814	end	814	-91	91	inside_domain
E16 → E17	758	E16	E17	IPR001245:484-814	IPR001245	kinase	484	814	end	814	-56	56	inside_domain
