exon_label	exon_number	protein_start_aa	protein_end_aa	length_aa	genomic_start	genomic_end	transcript_id
E1	1	1	21	21			XM_072931308.1
E2	2	21	107	87			XM_072931308.1
E3	3	107	196	90			XM_072931308.1
E4	4	196	221	26			XM_072931308.1
E5	5	221	277	57			XM_072931308.1
E6	6	278	319	42			XM_072931308.1
E7	7	319	382	64			XM_072931308.1
E8	8	383	432	50			XM_072931308.1
E9	9	432	500	69			XM_072931308.1
E10	10	500	550	51			XM_072931308.1
E11	11	550	591	42			XM_072931308.1
E12	12	591	628	38			XM_072931308.1
E13	13	628	691	64			XM_072931308.1
E14	14	692	732	41			XM_072931308.1
E15	15	733	756	24			XM_072931308.1
E16	16	756	802	47			XM_072931308.1
E17	17	802	837	36			XM_072931308.1
E18	18	838	890	53			XM_072931308.1
