position_in_figure	side	order_from_target	locus_symbol	locus_kind	transcription_direction	annotation_source
1	upstream	5	LOC100364561	placeholder_locus	+	ncbi_gff
2	upstream	4	Hectd4	annotated_neighbour	-	ncbi_gff
3	upstream	3	LOC100909911	placeholder_locus	-	ncbi_gff
4	upstream	2	Trafd1	annotated_neighbour	+	ncbi_gff
5	upstream	1	Rpl6	annotated_neighbour	-	ncbi_gff
6	target	0	PTPN11	target	+	ncbi_gff
7	downstream	1	Rph3a	annotated_neighbour	+	ncbi_gff
8	downstream	2	Oas1i	annotated_neighbour	+	ncbi_gff
9	downstream	3	Oas1d	annotated_neighbour	-	ncbi_gff
10	downstream	4	Oas1a	annotated_neighbour	+	ncbi_gff
11	downstream	5	Oas1h	annotated_neighbour	-	ncbi_gff
