species	isoform	final_isoform_label	boundary_type	boundary_aa	nearest_domain_label	distance_to_nearest_domain_boundary	boundary_class	exon_block_display_status	architecture_qc_status	outlier_reason
ambystoma_mexicanum	IIIc	IIIc	cassette_end	380	Ig3	3	aligned_to_domain_boundary	native_exon_blocks_reconstructed	architecture_supported	low-confidence / reconstructed exon-block display (native_exon_blocks_reconstructed)
canis_lupus_familiaris	IIIb	IIIb	cassette_end	244	Ig2	2	aligned_to_domain_boundary	cassette_only_high_confidence	architecture_supported_with_minor_flags	low-confidence / reconstructed exon-block display (cassette_only_high_confidence)
chrysemys_picta_bellii	IIIb	IIIb	cassette_end	379	Ig3	3	aligned_to_domain_boundary	native_exon_blocks_reconstructed	architecture_supported	low-confidence / reconstructed exon-block display (native_exon_blocks_reconstructed)
danio_rerio	IIIb	IIIb	cassette_end	383	Ig3	3	aligned_to_domain_boundary	native_exon_blocks_reconstructed	architecture_supported_with_minor_flags	low-confidence / reconstructed exon-block display (native_exon_blocks_reconstructed)
gasterosteus_aculeatus	IIIb	IIIb	cassette_end	475	Ig3	10	near_domain_boundary	native_exon_blocks_reconstructed	architecture_supported_with_minor_flags	low-confidence / reconstructed exon-block display (native_exon_blocks_reconstructed)
gorilla_gorilla_gorilla	IIIb	IIIb	cassette_end	270	Ig2	2	aligned_to_domain_boundary	native_exon_blocks_reconstructed	architecture_supported_with_minor_flags	low-confidence / reconstructed exon-block display (native_exon_blocks_reconstructed)
meleagris_gallopavo	IIIc	IIIc	cassette_end	245	Ig2	7	near_domain_boundary	native_exon_blocks_reconstructed	architecture_supported_with_minor_flags	low-confidence / reconstructed exon-block display (native_exon_blocks_reconstructed)
mus_musculus	IIIb	IIIb	cassette_end	393	TM	4	near_domain_boundary	native_exon_blocks_reconstructed	architecture_supported_with_minor_flags	low-confidence / reconstructed exon-block display (native_exon_blocks_reconstructed)
oreochromis_niloticus	IIIc	IIIc	cassette_end	424	kinase	7	near_domain_boundary	native_exon_blocks_reconstructed	architecture_supported_with_minor_flags	low-confidence / reconstructed exon-block display (native_exon_blocks_reconstructed)
oryzias_latipes	IIIb	IIIb	cassette_end	376	Ig3	3	aligned_to_domain_boundary	native_exon_blocks_reconstructed	architecture_supported	low-confidence / reconstructed exon-block display (native_exon_blocks_reconstructed)
pongo_abelii	IIIc	IIIc	cassette_end	446	kinase	8	near_domain_boundary	native_exon_blocks_reconstructed	architecture_supported	low-confidence / reconstructed exon-block display (native_exon_blocks_reconstructed)
takifugu_rubripes	IIIb	IIIb	cassette_end	343	Ig3	36	within_domain	native_exon_blocks_reconstructed	architecture_supported_with_minor_flags	low-confidence / reconstructed exon-block display (native_exon_blocks_reconstructed)
xenopus_tropicalis	IIIb	IIIb	cassette_end	368	Ig3	0	aligned_to_domain_boundary	native_exon_blocks_reconstructed	architecture_supported_with_minor_flags	low-confidence / reconstructed exon-block display (native_exon_blocks_reconstructed)
