species_id	protein_id	layer	member_database	signature_accession	signature_name	interpro_accession	interpro_name	interpro_type	start_aa	end_aa	score_or_evalue	is_integrated
homo_sapiens	NP_001304849.1	domain	PFAM	PF02180	BH4	IPR003093	Bcl2_BH4	DOMAIN	1	26	2.4e-11	1
homo_sapiens	NP_001304849.1	family	PANTHER	PTHR11256	BCL-2 RELATED	IPR026298	Bcl-2_fam	FAMILY	2	211	1.4e-52	1
homo_sapiens	NP_001304849.1	domain	SMART	SM00337	bclneu2	IPR046371	Bcl-2_BH1-3	DOMAIN	90	188	3.2e-50	1
homo_sapiens	NP_001304849.1	raw	FUNFAM	G3DSA:1.10.437.10:FF:000003	Bcl-2-like protein 1				1	209	5.2e-127	0
homo_sapiens	NP_001304849.1	feature	PROSITE_PATTERNS	PS01259	BH3	IPR020728	Bcl2_BH3_motif_CS	CONSERVED_SITE	86	100		1
homo_sapiens	NP_001304849.1	domain	PROSITE_PROFILES	PS50063	BH4_2	IPR003093	Bcl2_BH4	DOMAIN	5	24		1
homo_sapiens	NP_001304849.1	family	CDD	cd06845	Bcl-2_like	IPR026298	Bcl-2_fam	FAMILY	81	194	6.56327e-51	1
homo_sapiens	NP_001304849.1	family	NCBIFAM	TIGR00865	bcl-2	IPR004725	Bcl2/BclX	FAMILY	1	233	2.2e-94	1
homo_sapiens	NP_001304849.1	family	GENE3D	G3DSA:1.10.437.10		IPR036834	Bcl-2-like_sf	HOMOLOGOUS_SUPERFAMILY	1	209	1.7e-86	1
homo_sapiens	NP_001304849.1	feature	PROSITE_PATTERNS	PS01260	BH4_1	IPR020731	Bcl2_BH4_motif_CS	CONSERVED_SITE	4	24		1
homo_sapiens	NP_001304849.1	domain	SMART	SM00265	bh4_2	IPR003093	Bcl2_BH4	DOMAIN	1	27	1.1e-12	1
homo_sapiens	NP_001304849.1	family	SUPERFAMILY	SSF56854	Bcl-2 inhibitors of programmed cell death	IPR036834	Bcl-2-like_sf	HOMOLOGOUS_SUPERFAMILY	1	207	3.66e-68	1
homo_sapiens	NP_001304849.1	feature	MOBIDB_LITE	mobidb-lite	disorder_prediction				28	71		0
homo_sapiens	NP_001304849.1	family	PRINTS	PR01862	BCL2FAMILY	IPR026298	Bcl-2_fam	FAMILY	165	189	8.8e-27	1
homo_sapiens	NP_001304849.1	family	PRINTS	PR01862	BCL2FAMILY	IPR026298	Bcl-2_fam	FAMILY	123	135	8.8e-27	1
homo_sapiens	NP_001304849.1	family	PRINTS	PR01862	BCL2FAMILY	IPR026298	Bcl-2_fam	FAMILY	136	164	8.8e-27	1
homo_sapiens	NP_001304849.1	feature	PROSITE_PATTERNS	PS01258	BH2	IPR020726	Bcl2_BH2_motif_CS	CONSERVED_SITE	181	192		1
homo_sapiens	NP_001304849.1	family	PROSITE_PROFILES	PS50062	BCL2_FAMILY	IPR002475	Bcl2-like	FAMILY	90	190		1
homo_sapiens	NP_001304849.1	domain	PFAM	PF00452	Bcl-2	IPR046371	Bcl-2_BH1-3	DOMAIN	90	188	5.3e-30	1
homo_sapiens	NP_001304849.1	feature	PROSITE_PATTERNS	PS01080	BH1	IPR020717	Bcl2_BH1_motif_CS	CONSERVED_SITE	130	148		1
homo_sapiens	NP_001304849.1	family	PRINTS	PR01864	APOPREGBCLX	IPR013279	Apop_reg_BclX	FAMILY	80	96	1.2e-41	1
homo_sapiens	NP_001304849.1	family	PRINTS	PR01864	APOPREGBCLX	IPR013279	Apop_reg_BclX	FAMILY	99	110	1.2e-41	1
homo_sapiens	NP_001304849.1	family	PRINTS	PR01864	APOPREGBCLX	IPR013279	Apop_reg_BclX	FAMILY	1	16	1.2e-41	1
homo_sapiens	NP_001304849.1	family	PRINTS	PR01864	APOPREGBCLX	IPR013279	Apop_reg_BclX	FAMILY	17	32	1.2e-41	1
homo_sapiens	NP_001304849.1	family	PRINTS	PR01864	APOPREGBCLX	IPR013279	Apop_reg_BclX	FAMILY	118	129	1.2e-41	1
mus_musculus	NP_001276668.1	domain	PFAM	PF02180	BH4	IPR003093	Bcl2_BH4	DOMAIN	1	26	2.4e-11	1
mus_musculus	NP_001276668.1	domain	SMART	SM00337	bclneu2	IPR046371	Bcl-2_BH1-3	DOMAIN	90	188	2.3e-50	1
mus_musculus	NP_001276668.1	family	CDD	cd06845	Bcl-2_like	IPR026298	Bcl-2_fam	FAMILY	81	188	1.00778e-48	1
mus_musculus	NP_001276668.1	family	PRINTS	PR01864	APOPREGBCLX	IPR013279	Apop_reg_BclX	FAMILY	1	16	1.3e-41	1
