protein_id	transcript_id	model_role	exon_label	exon_number	genomic_start	genomic_end	protein_start_aa	protein_end_aa	exon_identity	reference_exon_label	junction_aa
NP_001304849.1	NM_001317920.2	primary	E1	1	31721655	31722218	1	188	primary		
NP_001304849.1	NM_001317920.2	primary	E2	2	31665949	31666086	189	233	primary		
NP_001182.1	NM_001191.4	alternative	E1	1	31721844	31722218	1	125	shifted	E1	
NP_001182.1	NM_001191.4	alternative	E2	2	31665949	31666086	126	170	shared	E2	
NP_001304848.1	NM_001317919.2	alternative	E1	1	31721655	31722218	1	188	shared	E1	
NP_001304848.1	NM_001317919.2	alternative	E2	2	31665949	31666086	189	233	shared	E2	
NP_001304850.1	NM_001317921.2	alternative	E1	1	31721655	31722218	1	188	shared	E1	
NP_001304850.1	NM_001317921.2	alternative	E2	2	31665949	31666086	189	233	shared	E2	
NP_001309168.1	NM_001322239.2	alternative	E1	1	31721655	31722218	1	188	shared	E1	
NP_001309168.1	NM_001322239.2	alternative	E2	2	31665949	31666086	189	233	shared	E2	
NP_001309169.1	NM_001322240.2	alternative	E1	1	31721655	31722218	1	188	shared	E1	
NP_001309169.1	NM_001322240.2	alternative	E2	2	31665949	31666086	189	233	shared	E2	
NP_001309171.1	NM_001322242.2	alternative	E1	1	31721655	31722218	1	188	shared	E1	
NP_001309171.1	NM_001322242.2	alternative	E2	2	31665949	31666086	189	233	shared	E2	
NP_001411260.1	NM_001424331.1	alternative	E1	1	31721655	31722218	1	188	shared	E1	
NP_001411260.1	NM_001424331.1	alternative	E2	2	31665949	31666086	189	233	shared	E2	
NP_001411261.1	NM_001424332.1	alternative	E1	1	31721655	31722218	1	188	shared	E1	
NP_001411261.1	NM_001424332.1	alternative	E2	2	31665949	31666086	189	233	shared	E2	
NP_612815.1	NM_138578.3	alternative	E1	1	31721655	31722218	1	188	shared	E1	
NP_612815.1	NM_138578.3	alternative	E2	2	31665949	31666086	189	233	shared	E2	
