species_id	protein_id	layer	interpro_accession	interpro_name	interpro_type	start_aa	end_aa	member_databases	supporting_interpro	n_signatures	representative_signature	score_or_evalue	domain_source	domain_id	domain_name	feature_type	interpro_description
homo_sapiens	NP_001317366.1	domain	IPR000980	SH2	DOMAIN	4	102	PFAM,PROSITE_PROFILES,SMART	IPR000980:SH2	3	PF00017	1.4e-29	PFAM,PROSITE_PROFILES,SMART	IPR000980	SH2	domain	SH2
homo_sapiens	NP_001317366.1	domain	IPR000980	SH2	DOMAIN	110	216	PFAM,PROSITE_PROFILES,SMART	IPR000980:SH2	3	PF00017	1.7e-34	PFAM,PROSITE_PROFILES,SMART	IPR000980	SH2	domain	SH2
homo_sapiens	NP_001317366.1	domain	IPR000242	PTP_cat	DOMAIN	246	527	PFAM,PRINTS,PROSITE_PROFILES,SMART	IPR000242:PTP_cat;IPR000387:Tyr_Pase_dom;IPR003595:Tyr_Pase_cat	6	PF00102	2.2e-133	PFAM,PRINTS,PROSITE_PROFILES,SMART	IPR000242	PTP_cat	domain	PTP_cat
homo_sapiens	NP_001317366.1	family	IPR036860	SH2_dom_sf	HOMOLOGOUS_SUPERFAMILY	1	217	GENE3D,SUPERFAMILY		0			GENE3D,SUPERFAMILY	IPR036860	SH2_dom_sf	family	SH2_dom_sf
homo_sapiens	NP_001317366.1	family	IPR012152	Tyr_Pase_non-rcpt_typ-6/11	FAMILY	1	597	PIRSF		0			PIRSF	IPR012152	Tyr_Pase_non-rcpt_typ-6/11	family	Tyr_Pase_non-rcpt_typ-6/11
homo_sapiens	NP_001317366.1	family	IPR029021	Prot-tyrosine_phosphatase-like	HOMOLOGOUS_SUPERFAMILY	218	529	GENE3D,SUPERFAMILY		0			GENE3D,SUPERFAMILY	IPR029021	Prot-tyrosine_phosphatase-like	family	Prot-tyrosine_phosphatase-like
homo_sapiens	NP_001317366.1	feature	IPR016130	Tyr_Pase_AS	ACTIVE_SITE	461	471	PROSITE_PATTERNS		0			PROSITE_PATTERNS	IPR016130	Tyr_Pase_AS	feature	Tyr_Pase_AS
homo_sapiens	NP_001317366.1	feature		disorder_prediction	DISORDER	552	577	MOBIDB_LITE		0			MOBIDB_LITE		disorder_prediction	feature	disorder_prediction
homo_sapiens	NP_001317366.1	feature		disorder_prediction	DISORDER	563	572	MOBIDB_LITE		0			MOBIDB_LITE		disorder_prediction	feature	disorder_prediction
mus_musculus	NP_035332.1	domain	IPR000980	SH2	DOMAIN	4	102	PFAM,PROSITE_PROFILES,SMART	IPR000980:SH2	3	PF00017	1.4e-29	PFAM,PROSITE_PROFILES,SMART	IPR000980	SH2	domain	SH2
mus_musculus	NP_035332.1	domain	IPR000980	SH2	DOMAIN	110	216	PFAM,PROSITE_PROFILES,SMART	IPR000980:SH2	3	PF00017	1.7e-34	PFAM,PROSITE_PROFILES,SMART	IPR000980	SH2	domain	SH2
mus_musculus	NP_035332.1	domain	IPR000242	PTP_cat	DOMAIN	246	527	PFAM,PRINTS,PROSITE_PROFILES,SMART	IPR000242:PTP_cat;IPR000387:Tyr_Pase_dom;IPR003595:Tyr_Pase_cat	6	PF00102	8.4e-133	PFAM,PRINTS,PROSITE_PROFILES,SMART	IPR000242	PTP_cat	domain	PTP_cat
mus_musculus	NP_035332.1	family	IPR036860	SH2_dom_sf	HOMOLOGOUS_SUPERFAMILY	1	217	GENE3D,SUPERFAMILY		0			GENE3D,SUPERFAMILY	IPR036860	SH2_dom_sf	family	SH2_dom_sf
mus_musculus	NP_035332.1	family	IPR012152	Tyr_Pase_non-rcpt_typ-6/11	FAMILY	1	597	PIRSF		0			PIRSF	IPR012152	Tyr_Pase_non-rcpt_typ-6/11	family	Tyr_Pase_non-rcpt_typ-6/11
mus_musculus	NP_035332.1	family	IPR029021	Prot-tyrosine_phosphatase-like	HOMOLOGOUS_SUPERFAMILY	218	529	GENE3D,SUPERFAMILY		0			GENE3D,SUPERFAMILY	IPR029021	Prot-tyrosine_phosphatase-like	family	Prot-tyrosine_phosphatase-like
mus_musculus	NP_035332.1	feature	IPR016130	Tyr_Pase_AS	ACTIVE_SITE	461	471	PROSITE_PATTERNS		0			PROSITE_PATTERNS	IPR016130	Tyr_Pase_AS	feature	Tyr_Pase_AS
rattus_norvegicus	NP_001171064.1	domain	IPR000980	SH2	DOMAIN	4	102	PFAM,PROSITE_PROFILES,SMART	IPR000980:SH2	3	PF00017	1.4e-29	PFAM,PROSITE_PROFILES,SMART	IPR000980	SH2	domain	SH2
rattus_norvegicus	NP_001171064.1	domain	IPR000980	SH2	DOMAIN	110	216	PFAM,PROSITE_PROFILES,SMART	IPR000980:SH2	3	PF00017	1.8e-34	PFAM,PROSITE_PROFILES,SMART	IPR000980	SH2	domain	SH2
rattus_norvegicus	NP_001171064.1	domain	IPR000242	PTP_cat	DOMAIN	246	527	PFAM,PRINTS,PROSITE_PROFILES,SMART	IPR000242:PTP_cat;IPR000387:Tyr_Pase_dom;IPR003595:Tyr_Pase_cat	6	PF00102	2.5e-132	PFAM,PRINTS,PROSITE_PROFILES,SMART	IPR000242	PTP_cat	domain	PTP_cat
rattus_norvegicus	NP_001171064.1	family	IPR036860	SH2_dom_sf	HOMOLOGOUS_SUPERFAMILY	1	217	GENE3D,SUPERFAMILY		0			GENE3D,SUPERFAMILY	IPR036860	SH2_dom_sf	family	SH2_dom_sf
rattus_norvegicus	NP_001171064.1	family	IPR012152	Tyr_Pase_non-rcpt_typ-6/11	FAMILY	1	597	PIRSF		0			PIRSF	IPR012152	Tyr_Pase_non-rcpt_typ-6/11	family	Tyr_Pase_non-rcpt_typ-6/11
rattus_norvegicus	NP_001171064.1	family	IPR029021	Prot-tyrosine_phosphatase-like	HOMOLOGOUS_SUPERFAMILY	218	529	GENE3D,SUPERFAMILY		0			GENE3D,SUPERFAMILY	IPR029021	Prot-tyrosine_phosphatase-like	family	Prot-tyrosine_phosphatase-like
rattus_norvegicus	NP_001171064.1	feature	IPR016130	Tyr_Pase_AS	ACTIVE_SITE	461	471	PROSITE_PATTERNS		0			PROSITE_PATTERNS	IPR016130	Tyr_Pase_AS	feature	Tyr_Pase_AS
