protein_id	transcript_id	model_role	exon_label	exon_number	genomic_start	genomic_end	protein_start_aa	protein_end_aa	exon_identity	reference_exon_label	junction_aa
NP_035332.1	NM_011202.3	primary	E1	1	121329265	121329278	1	5	primary		
NP_035332.1	NM_011202.3	primary	E2	2	121310044	121310166	5	46	primary		
NP_035332.1	NM_011202.3	primary	E3	3	121305912	121306106	46	111	primary		
NP_035332.1	NM_011202.3	primary	E4	4	121302558	121302750	111	175	primary		
NP_035332.1	NM_011202.3	primary	E5	5	121301201	121301317	176	214	primary		
NP_035332.1	NM_011202.3	primary	E6	6	121300772	121300885	215	252	primary		
NP_035332.1	NM_011202.3	primary	E7	7	121292493	121292589	253	285	primary		
NP_035332.1	NM_011202.3	primary	E8	8	121290538	121290617	285	311	primary		
NP_035332.1	NM_011202.3	primary	E9	9	121290275	121290433	312	364	primary		
NP_035332.1	NM_011202.3	primary	E10	10	121287166	121287297	365	408	primary		
NP_035332.1	NM_011202.3	primary	E11	11	121282593	121282759	409	464	primary		
NP_035332.1	NM_011202.3	primary	E12	12	121281625	121281692	464	487	primary		
NP_035332.1	NM_011202.3	primary	E13	13	121281066	121281217	487	537	primary		
NP_035332.1	NM_011202.3	primary	E14	14	121275480	121275592	538	575	primary		
NP_035332.1	NM_011202.3	primary	E15	15	121272820	121272889	575	597	primary		
NP_001103462.1	NM_001109992.1	alternative	E1	1	121329265	121329278	1	5	shared	E1	
NP_001103462.1	NM_001109992.1	alternative	E2	2	121310044	121310166	5	46	shared	E2	
NP_001103462.1	NM_001109992.1	alternative	E3	3	121305912	121306106	46	111	shared	E3	
NP_001103462.1	NM_001109992.1	alternative	E4	4	121302558	121302750	111	175	shared	E4	
NP_001103462.1	NM_001109992.1	alternative	E5	5	121301201	121301317	176	214	shared	E5	
NP_001103462.1	NM_001109992.1	alternative	E6	6	121300772	121300885	215	252	shared	E6	
NP_001103462.1	NM_001109992.1	alternative	E7	7	121292493	121292589	253	285	shared	E7	
NP_001103462.1	NM_001109992.1	alternative	E8	8	121290538	121290617	285	311	shared	E8	
NP_001103462.1	NM_001109992.1	alternative	E9	9	121290275	121290433	312	364	shared	E9	
NP_001103462.1	NM_001109992.1	alternative	E10	10	121287166	121287297	365	408	shared	E10	
NP_001103462.1	NM_001109992.1	alternative	E11	11	121282593	121282747	409	460	shifted	E11	
NP_001103462.1	NM_001109992.1	alternative	E12	12	121281625	121281692	460	483	shared	E12	
NP_001103462.1	NM_001109992.1	alternative	E13	13	121281066	121281217	483	533	shared	E13	
NP_001103462.1	NM_001109992.1	alternative	E14	14	121275480	121275592	534	571	shared	E14	
NP_001103462.1	NM_001109992.1	alternative	E15	15	121272820	121272889	571	593	shared	E15	
