species	isoform	member_database	signed_offset	n_signature_calls	abs_offset	protein_key
alligator_mississippiensis	IIIb	Gene3D	4.0	1	4.0	alligator_mississippiensis|IIIb
alligator_mississippiensis	IIIb	Pfam	-2.0	1	2.0	alligator_mississippiensis|IIIb
alligator_mississippiensis	IIIb	ProSiteProfiles	-3.0	1	3.0	alligator_mississippiensis|IIIb
alligator_mississippiensis	IIIb	SMART	-6.5	2	6.5	alligator_mississippiensis|IIIb
alligator_mississippiensis	IIIb	SUPERFAMILY	-2.0	1	2.0	alligator_mississippiensis|IIIb
alligator_mississippiensis	IIIc	Gene3D	4.0	1	4.0	alligator_mississippiensis|IIIc
alligator_mississippiensis	IIIc	Pfam	-2.0	1	2.0	alligator_mississippiensis|IIIc
alligator_mississippiensis	IIIc	ProSiteProfiles	-3.0	1	3.0	alligator_mississippiensis|IIIc
alligator_mississippiensis	IIIc	SMART	-6.5	2	6.5	alligator_mississippiensis|IIIc
alligator_mississippiensis	IIIc	SUPERFAMILY	-2.0	1	2.0	alligator_mississippiensis|IIIc
ambystoma_mexicanum	IIIb	Gene3D	2.0	1	2.0	ambystoma_mexicanum|IIIb
ambystoma_mexicanum	IIIb	Pfam	-2.0	1	2.0	ambystoma_mexicanum|IIIb
ambystoma_mexicanum	IIIb	ProSiteProfiles	-3.0	1	3.0	ambystoma_mexicanum|IIIb
ambystoma_mexicanum	IIIb	SMART	-6.5	2	6.5	ambystoma_mexicanum|IIIb
ambystoma_mexicanum	IIIb	SUPERFAMILY	-2.0	1	2.0	ambystoma_mexicanum|IIIb
ambystoma_mexicanum	IIIc	Gene3D	7.0	1	7.0	ambystoma_mexicanum|IIIc
ambystoma_mexicanum	IIIc	Pfam	-2.0	1	2.0	ambystoma_mexicanum|IIIc
ambystoma_mexicanum	IIIc	ProSiteProfiles	-3.0	1	3.0	ambystoma_mexicanum|IIIc
ambystoma_mexicanum	IIIc	SMART	-6.5	2	6.5	ambystoma_mexicanum|IIIc
ambystoma_mexicanum	IIIc	SUPERFAMILY	-2.0	1	2.0	ambystoma_mexicanum|IIIc
anolis_carolinensis	IIIb	Gene3D	3.0	1	3.0	anolis_carolinensis|IIIb
anolis_carolinensis	IIIb	Pfam	-15.0	1	15.0	anolis_carolinensis|IIIb
anolis_carolinensis	IIIb	ProSiteProfiles	-3.0	1	3.0	anolis_carolinensis|IIIb
anolis_carolinensis	IIIb	SMART	-12.0	3	12.0	anolis_carolinensis|IIIb
anolis_carolinensis	IIIb	SUPERFAMILY	-2.0	1	2.0	anolis_carolinensis|IIIb
anolis_carolinensis	IIIc	Gene3D	1.0	1	1.0	anolis_carolinensis|IIIc
anolis_carolinensis	IIIc	Pfam	-2.0	1	2.0	anolis_carolinensis|IIIc
anolis_carolinensis	IIIc	ProSiteProfiles	-3.0	1	3.0	anolis_carolinensis|IIIc
anolis_carolinensis	IIIc	SMART	-6.5	2	6.5	anolis_carolinensis|IIIc
anolis_carolinensis	IIIc	SUPERFAMILY	-2.0	1	2.0	anolis_carolinensis|IIIc
bos_taurus	IIIb	Gene3D	5.0	1	5.0	bos_taurus|IIIb
bos_taurus	IIIb	Pfam	-2.0	1	2.0	bos_taurus|IIIb
bos_taurus	IIIb	ProSiteProfiles	-3.0	1	3.0	bos_taurus|IIIb
bos_taurus	IIIb	SMART	-6.5	2	6.5	bos_taurus|IIIb
bos_taurus	IIIb	SUPERFAMILY	-2.0	1	2.0	bos_taurus|IIIb
bos_taurus	IIIc	Gene3D	1.0	1	1.0	bos_taurus|IIIc
bos_taurus	IIIc	Pfam	-15.0	1	15.0	bos_taurus|IIIc
bos_taurus	IIIc	ProSiteProfiles	-3.0	1	3.0	bos_taurus|IIIc
bos_taurus	IIIc	SMART	-6.5	2	6.5	bos_taurus|IIIc
bos_taurus	IIIc	SUPERFAMILY	-2.0	1	2.0	bos_taurus|IIIc
callithrix_jacchus	IIIb	Gene3D	4.0	1	4.0	callithrix_jacchus|IIIb
callithrix_jacchus	IIIb	Pfam	-2.0	1	2.0	callithrix_jacchus|IIIb
callithrix_jacchus	IIIb	ProSiteProfiles	-3.0	1	3.0	callithrix_jacchus|IIIb
callithrix_jacchus	IIIb	SMART	-6.5	2	6.5	callithrix_jacchus|IIIb
callithrix_jacchus	IIIb	SUPERFAMILY	-2.0	1	2.0	callithrix_jacchus|IIIb
callithrix_jacchus	IIIc	Gene3D	1.0	1	1.0	callithrix_jacchus|IIIc
callithrix_jacchus	IIIc	Pfam	-15.0	1	15.0	callithrix_jacchus|IIIc
callithrix_jacchus	IIIc	ProSiteProfiles	-3.0	1	3.0	callithrix_jacchus|IIIc
callithrix_jacchus	IIIc	SMART	-6.5	2	6.5	callithrix_jacchus|IIIc
callithrix_jacchus	IIIc	SUPERFAMILY	-2.0	1	2.0	callithrix_jacchus|IIIc
canis_lupus_familiaris	IIIb	Gene3D	5.0	1	5.0	canis_lupus_familiaris|IIIb
canis_lupus_familiaris	IIIb	Pfam	-2.0	1	2.0	canis_lupus_familiaris|IIIb
canis_lupus_familiaris	IIIb	ProSiteProfiles	-3.0	1	3.0	canis_lupus_familiaris|IIIb
canis_lupus_familiaris	IIIb	SMART	-6.5	2	6.5	canis_lupus_familiaris|IIIb
canis_lupus_familiaris	IIIb	SUPERFAMILY	-2.0	1	2.0	canis_lupus_familiaris|IIIb
chrysemys_picta_bellii	IIIb	Gene3D	6.0	1	6.0	chrysemys_picta_bellii|IIIb
chrysemys_picta_bellii	IIIb	Pfam	0.0	1	0.0	chrysemys_picta_bellii|IIIb
chrysemys_picta_bellii	IIIb	ProSiteProfiles	1.0	1	1.0	chrysemys_picta_bellii|IIIb
chrysemys_picta_bellii	IIIb	SMART	-4.5	2	4.5	chrysemys_picta_bellii|IIIb
chrysemys_picta_bellii	IIIb	SUPERFAMILY	0.0	1	0.0	chrysemys_picta_bellii|IIIb
chrysemys_picta_bellii	IIIc	Gene3D	5.0	1	5.0	chrysemys_picta_bellii|IIIc
chrysemys_picta_bellii	IIIc	Pfam	-15.0	1	15.0	chrysemys_picta_bellii|IIIc
chrysemys_picta_bellii	IIIc	ProSiteProfiles	-3.0	1	3.0	chrysemys_picta_bellii|IIIc
chrysemys_picta_bellii	IIIc	SMART	-6.5	2	6.5	chrysemys_picta_bellii|IIIc
chrysemys_picta_bellii	IIIc	SUPERFAMILY	-2.0	1	2.0	chrysemys_picta_bellii|IIIc
