comparable_boundary_group_id	mapping_method	mapping_status	group_n_species	group_species_coverage	group_msa_column	run_id	species_id	scientific_name	protein_id	transcript_id	boundary_id	left_exon_id	right_exon_id	exon_transition	native_protein_position	msa_column	msa_mapping_status	nearest_domain_instance_id	nearest_domain_accession	nearest_domain_label	nearest_edge	nearest_edge_position	signed_distance	absolute_distance	boundary_class	domain_annotation_available	mapping_confidence	review_reason
CBG3	msa_aligned_position	tentative	2	homo_sapiens,takifugu_rubripes	371	example	homo_sapiens	Homo sapiens	ENSP00000351276	ENST00000358487	ENSP00000351276:E3_E4	ENSP00000351276:exon3	ENSP00000351276:exon4	E3 → E4	137	371	mapped	IPR007110:45-110	IPR007110	Ig1	end	110	27	27	outside_annotated_domains	True	0.067	
CBG3	msa_aligned_position	tentative	2	homo_sapiens,takifugu_rubripes	371	example	takifugu_rubripes	Takifugu rubripes	ENSTRUP00000045145	ENSTRUT00000045297	ENSTRUP00000045145:E4_E5	ENSTRUP00000045145:exon4	ENSTRUP00000045145:exon5	E4 → E5	160	373	mapped	IPR007110:71-132	IPR007110	Ig1	end	132	28	28	outside_annotated_domains	True	0.067	
CBG15	msa_aligned_position	supported_comparable	22	alligator_mississippiensis,ambystoma_mexicanum,anolis_carolinensis,bos_taurus,callithrix_jacchus,chrysemys_picta_bellii,danio_rerio,equus_caballus,felis_catus,gallus_gallus,macaca_mulatta,monodelphis_domestica,oreochromis_niloticus,ornithorhynchus_anatinus,oryctolagus_cuniculus,oryzias_latipes,ovis_aries,pan_troglodytes,pongo_abelii,rattus_norvegicus,sus_scrofa,taeniopygia_guttata	159	example	pan_troglodytes	Pan troglodytes	XP_054516514.1	XM_054660539.2	XP_054516514.1:E1_E2	XP_054516514.1:exon1	XP_054516514.1:exon2	E1 → E2	56	159	mapped	IPR007110:64-129	IPR007110	Ig1	start	64	-8	8	outside_annotated_domains	True	0.733	
CBG15	msa_aligned_position	supported_comparable	22	alligator_mississippiensis,ambystoma_mexicanum,anolis_carolinensis,bos_taurus,callithrix_jacchus,chrysemys_picta_bellii,danio_rerio,equus_caballus,felis_catus,gallus_gallus,macaca_mulatta,monodelphis_domestica,oreochromis_niloticus,ornithorhynchus_anatinus,oryctolagus_cuniculus,oryzias_latipes,ovis_aries,pan_troglodytes,pongo_abelii,rattus_norvegicus,sus_scrofa,taeniopygia_guttata	159	example	pongo_abelii	Pongo abelii	XP_024108704.1	XM_024252936	XP_024108704.1:E1_E2	XP_024108704.1:exon1	XP_024108704.1:exon2	E1 → E2	56	159	mapped	IPR007110:64-129	IPR007110	Ig1	start	64	-8	8	outside_annotated_domains	True	0.733	
CBG15	msa_aligned_position	supported_comparable	22	alligator_mississippiensis,ambystoma_mexicanum,anolis_carolinensis,bos_taurus,callithrix_jacchus,chrysemys_picta_bellii,danio_rerio,equus_caballus,felis_catus,gallus_gallus,macaca_mulatta,monodelphis_domestica,oreochromis_niloticus,ornithorhynchus_anatinus,oryctolagus_cuniculus,oryzias_latipes,ovis_aries,pan_troglodytes,pongo_abelii,rattus_norvegicus,sus_scrofa,taeniopygia_guttata	159	example	macaca_mulatta	Macaca mulatta	XP_077803775.1	XM_077947649.1	XP_077803775.1:E1_E2	XP_077803775.1:exon1	XP_077803775.1:exon2	E1 → E2	56	159	mapped	IPR007110:64-129	IPR007110	Ig1	start	64	-8	8	outside_annotated_domains	True	0.733	
CBG15	msa_aligned_position	supported_comparable	22	alligator_mississippiensis,ambystoma_mexicanum,anolis_carolinensis,bos_taurus,callithrix_jacchus,chrysemys_picta_bellii,danio_rerio,equus_caballus,felis_catus,gallus_gallus,macaca_mulatta,monodelphis_domestica,oreochromis_niloticus,ornithorhynchus_anatinus,oryctolagus_cuniculus,oryzias_latipes,ovis_aries,pan_troglodytes,pongo_abelii,rattus_norvegicus,sus_scrofa,taeniopygia_guttata	159	example	callithrix_jacchus	Callithrix jacchus	XP_078202765.1	XM_078346639.1	XP_078202765.1:E1_E2	XP_078202765.1:exon1	XP_078202765.1:exon2	E1 → E2	56	159	mapped	IPR007110:64-129	IPR007110	Ig1	start	64	-8	8	outside_annotated_domains	True	0.733	
CBG15	msa_aligned_position	supported_comparable	22	alligator_mississippiensis,ambystoma_mexicanum,anolis_carolinensis,bos_taurus,callithrix_jacchus,chrysemys_picta_bellii,danio_rerio,equus_caballus,felis_catus,gallus_gallus,macaca_mulatta,monodelphis_domestica,oreochromis_niloticus,ornithorhynchus_anatinus,oryctolagus_cuniculus,oryzias_latipes,ovis_aries,pan_troglodytes,pongo_abelii,rattus_norvegicus,sus_scrofa,taeniopygia_guttata	159	example	rattus_norvegicus	Rattus norvegicus	XP_063137149.1	XM_063281079.1	XP_063137149.1:E1_E2	XP_063137149.1:exon1	XP_063137149.1:exon2	E1 → E2	56	159	mapped	IPR007110:64-128	IPR007110	Ig1	start	64	-8	8	outside_annotated_domains	True	0.733	
CBG15	msa_aligned_position	supported_comparable	22	alligator_mississippiensis,ambystoma_mexicanum,anolis_carolinensis,bos_taurus,callithrix_jacchus,chrysemys_picta_bellii,danio_rerio,equus_caballus,felis_catus,gallus_gallus,macaca_mulatta,monodelphis_domestica,oreochromis_niloticus,ornithorhynchus_anatinus,oryctolagus_cuniculus,oryzias_latipes,ovis_aries,pan_troglodytes,pongo_abelii,rattus_norvegicus,sus_scrofa,taeniopygia_guttata	159	example	oryctolagus_cuniculus	Oryctolagus cuniculus	XP_069913096.1	XM_070056995.1	XP_069913096.1:E1_E2	XP_069913096.1:exon1	XP_069913096.1:exon2	E1 → E2	56	159	mapped	IPR007110:64-128	IPR007110	Ig1	start	64	-8	8	outside_annotated_domains	True	0.733	
CBG15	msa_aligned_position	supported_comparable	22	alligator_mississippiensis,ambystoma_mexicanum,anolis_carolinensis,bos_taurus,callithrix_jacchus,chrysemys_picta_bellii,danio_rerio,equus_caballus,felis_catus,gallus_gallus,macaca_mulatta,monodelphis_domestica,oreochromis_niloticus,ornithorhynchus_anatinus,oryctolagus_cuniculus,oryzias_latipes,ovis_aries,pan_troglodytes,pongo_abelii,rattus_norvegicus,sus_scrofa,taeniopygia_guttata	159	example	felis_catus	Felis catus	XP_044896695.1	XM_045040760.1	XP_044896695.1:E1_E2	XP_044896695.1:exon1	XP_044896695.1:exon2	E1 → E2	57	159	mapped	IPR007110:65-129	IPR007110	Ig1	start	65	-8	8	outside_annotated_domains	True	0.733	
CBG15	msa_aligned_position	supported_comparable	22	alligator_mississippiensis,ambystoma_mexicanum,anolis_carolinensis,bos_taurus,callithrix_jacchus,chrysemys_picta_bellii,danio_rerio,equus_caballus,felis_catus,gallus_gallus,macaca_mulatta,monodelphis_domestica,oreochromis_niloticus,ornithorhynchus_anatinus,oryctolagus_cuniculus,oryzias_latipes,ovis_aries,pan_troglodytes,pongo_abelii,rattus_norvegicus,sus_scrofa,taeniopygia_guttata	159	example	bos_taurus	Bos taurus	XP_059737724.1	XM_059881741.1	XP_059737724.1:E1_E2	XP_059737724.1:exon1	XP_059737724.1:exon2	E1 → E2	56	159	mapped	IPR007110:64-128	IPR007110	Ig1	start	64	-8	8	outside_annotated_domains	True	0.733	
