exon_label	exon_number	protein_start_aa	protein_end_aa	length_aa	genomic_start	genomic_end	transcript_id
E1	1	1	9	9			XM_014732944.3
E2	2	9	106	98			XM_014732944.3
E3	3	106	195	90			XM_014732944.3
E4	4	195	221	27			XM_014732944.3
E5	5	221	277	57			XM_014732944.3
E6	6	278	319	42			XM_014732944.3
E7	7	319	382	64			XM_014732944.3
E8	8	383	432	50			XM_014732944.3
E9	9	432	499	68			XM_014732944.3
E10	10	500	550	51			XM_014732944.3
E11	11	550	591	42			XM_014732944.3
E12	12	591	628	38			XM_014732944.3
E13	13	628	691	64			XM_014732944.3
E14	14	692	732	41			XM_014732944.3
E15	15	733	756	24			XM_014732944.3
E16	16	756	802	47			XM_014732944.3
E17	17	802	837	36			XM_014732944.3
E18	18	838	886	49			XM_014732944.3
