species_id	gene_symbol	neighbor_symbol	side	order	orientation	classification	source	status	seqid	genomic_start	genomic_end	distance_to_target
homo_sapiens	PTPN11	RPL6	upstream	1	-	same_scaffold_ordered	ncbi_gff	resolved	NC_000012.12	112405181	112418835	112
homo_sapiens	PTPN11	RPH3A	downstream	1	+	same_scaffold_ordered	ncbi_gff	resolved	NC_000012.12	112575236	112898881	65318
homo_sapiens	PTPN11	HECTD4	upstream	2	-	same_scaffold_ordered	ncbi_gff	resolved	NC_000012.12	112160195	112382431	36516
homo_sapiens	PTPN11	OAS1	downstream	2	+	same_scaffold_ordered	ncbi_gff	resolved	NC_000012.12	112906962	112933219	397044
homo_sapiens	PTPN11	TRAFD1	upstream	3	+	same_scaffold_ordered	ncbi_gff	resolved	NC_000012.12	112125560	112153604	265343
homo_sapiens	PTPN11	OAS3	downstream	3	+	same_scaffold_ordered	ncbi_gff	resolved	NC_000012.12	112938474	112973251	428556
homo_sapiens	PTPN11	NAA25	upstream	4	-	same_scaffold_ordered	ncbi_gff	resolved	NC_000012.12	112026689	112108783	310164
homo_sapiens	PTPN11	OAS2	downstream	4	+	same_scaffold_ordered	ncbi_gff	resolved	NC_000012.12	112978519	113011723	468601
homo_sapiens	PTPN11	ERP29	upstream	5	+	same_scaffold_ordered	ncbi_gff	resolved	NC_000012.12	112013426	112023449	395498
homo_sapiens	PTPN11	DTX1	downstream	5	+	same_scaffold_ordered	ncbi_gff	resolved	NC_000012.12	113056730	113098025	546812
mus_musculus	PTPN11	Rph3a	downstream	1	-	same_scaffold_ordered	ncbi_gff	resolved	NC_000071.7	121078562	121184249	84347
mus_musculus	PTPN11	Rpl6	upstream	1	+	same_scaffold_ordered	ncbi_gff	resolved	NC_000071.7	121342564	121347304	13104
mus_musculus	PTPN11	Oas1d	downstream	2	+	same_scaffold_ordered	ncbi_gff	resolved	NC_000071.7	121052881	121059711	208885
mus_musculus	PTPN11	Hectd4	upstream	2	+	same_scaffold_ordered	ncbi_gff	resolved	NC_000071.7	121357323	121506633	27863
mus_musculus	PTPN11	Oas1a	downstream	3	-	same_scaffold_ordered	ncbi_gff	resolved	NC_000071.7	121034319	121045588	223008
mus_musculus	PTPN11	Trafd1	upstream	3	-	same_scaffold_ordered	ncbi_gff	resolved	NC_000071.7	121509788	121524543	180328
mus_musculus	PTPN11	Oas1g	downstream	4	-	same_scaffold_ordered	ncbi_gff	resolved	NC_000071.7	121014205	121025676	242920
mus_musculus	PTPN11	Naa25	upstream	4	+	same_scaffold_ordered	ncbi_gff	resolved	NC_000071.7	121535977	121580612	206517
mus_musculus	PTPN11	Oas1h	downstream	5	+	same_scaffold_ordered	ncbi_gff	resolved	NC_000071.7	120999485	121011569	257027
mus_musculus	PTPN11	Erp29	upstream	5	-	same_scaffold_ordered	ncbi_gff	resolved	NC_000071.7	121582816	121590537	253356
rattus_norvegicus	PTPN11	Rpl6	upstream	1	-	same_scaffold_ordered	ncbi_gff	resolved	NC_086030.1	41008142	41012756	13323
rattus_norvegicus	PTPN11	Rph3a	downstream	1	+	same_scaffold_ordered	ncbi_gff	resolved	NC_086030.1	41203004	41279536	117427
rattus_norvegicus	PTPN11	Trafd1	upstream	2	+	same_scaffold_ordered	ncbi_gff	resolved	NC_086030.1	40826251	40840169	185910
rattus_norvegicus	PTPN11	Oas1i	downstream	2	+	same_scaffold_ordered	ncbi_gff	resolved	NC_086030.1	41285201	41297242	199624
rattus_norvegicus	PTPN11	LOC100909911	upstream	3	-	same_scaffold_ordered	ncbi_gff	resolved	NC_086030.1	40816580	40817106	208973
rattus_norvegicus	PTPN11	Oas1d	downstream	3	-	same_scaffold_ordered	ncbi_gff	resolved	NC_086030.1	41309214	41318823	223637
rattus_norvegicus	PTPN11	Hectd4	upstream	4	-	same_scaffold_ordered	ncbi_gff	resolved	NC_086030.1	40800232	40991584	34495
rattus_norvegicus	PTPN11	Oas1a	downstream	4	+	same_scaffold_ordered	ncbi_gff	resolved	NC_086030.1	41330423	41341130	244846
rattus_norvegicus	PTPN11	LOC100364561	upstream	5	+	same_scaffold_ordered	ncbi_gff	resolved	NC_086030.1	40799918	40800165	225914
rattus_norvegicus	PTPN11	Oas1h	downstream	5	-	same_scaffold_ordered	ncbi_gff	resolved	NC_086030.1	41343449	41356400	257872
