exon_label	exon_number	protein_start_aa	protein_end_aa	length_aa	genomic_start	genomic_end	transcript_id
E1	1	1	56	56			XM_078346639.1
E2	2	56	145	90			XM_078346639.1
E3	3	145	171	27			XM_078346639.1
E4	4	171	227	57			XM_078346639.1
E5	5	228	269	42			XM_078346639.1
E6	6	269	332	64			XM_078346639.1
E7	7	333	382	50			XM_078346639.1
E8	8	382	450	69			XM_078346639.1
E9	9	450	500	51			XM_078346639.1
E10	10	500	541	42			XM_078346639.1
E11	11	541	578	38			XM_078346639.1
E12	12	578	641	64			XM_078346639.1
E13	13	642	682	41			XM_078346639.1
E14	14	683	706	24			XM_078346639.1
E15	15	706	752	47			XM_078346639.1
E16	16	752	787	36			XM_078346639.1
E17	17	788	840	53			XM_078346639.1
