species_id	scientific_name	target_gene	slot_x	is_target	neighbour_symbol	side	order	orientation	gene_id	placeholder	classification	status	orthology_confidence	distance_to_target
homo_sapiens	Homo Sapiens	PTPN11	-5	false	ERP29	upstream	5	+		false	exact	resolved	high	395498
homo_sapiens	Homo Sapiens	PTPN11	-4	false	NAA25	upstream	4	-		false	exact	resolved	high	310164
homo_sapiens	Homo Sapiens	PTPN11	-3	false	TRAFD1	upstream	3	+		false	exact	resolved	high	265343
homo_sapiens	Homo Sapiens	PTPN11	-2	false	HECTD4	upstream	2	-		false	exact	resolved	high	36516
homo_sapiens	Homo Sapiens	PTPN11	-1	false	RPL6	upstream	1	-		false	exact	resolved	high	112
homo_sapiens	Homo Sapiens	PTPN11	0	true		target	0	+	gene-PTPN11	false	target	target	target	0
homo_sapiens	Homo Sapiens	PTPN11	1	false	RPH3A	downstream	1	+		false	exact	resolved	high	65318
homo_sapiens	Homo Sapiens	PTPN11	2	false	OAS1	downstream	2	+		false	exact	resolved	high	397044
homo_sapiens	Homo Sapiens	PTPN11	3	false	OAS3	downstream	3	+		false	exact	resolved	high	428556
homo_sapiens	Homo Sapiens	PTPN11	4	false	OAS2	downstream	4	+		false	exact	resolved	high	468601
homo_sapiens	Homo Sapiens	PTPN11	5	false	DTX1	downstream	5	+		false	exact	resolved	high	546812
mus_musculus	Mus Musculus	Ptpn11	-5	false	Erp29	upstream	5	-		false	exact	resolved	high	253356
mus_musculus	Mus Musculus	Ptpn11	-4	false	Naa25	upstream	4	+		false	exact	resolved	high	206517
mus_musculus	Mus Musculus	Ptpn11	-3	false	Trafd1	upstream	3	-		false	exact	resolved	high	180328
mus_musculus	Mus Musculus	Ptpn11	-2	false	Hectd4	upstream	2	+		false	exact	resolved	high	27863
mus_musculus	Mus Musculus	Ptpn11	-1	false	Rpl6	upstream	1	+		false	exact	resolved	high	13104
mus_musculus	Mus Musculus	Ptpn11	0	true		target	0	-	gene-Ptpn11	false	target	target	target	0
mus_musculus	Mus Musculus	Ptpn11	1	false	Rph3a	downstream	1	-		false	exact	resolved	high	84347
mus_musculus	Mus Musculus	Ptpn11	2	false	Oas1d	downstream	2	+		false	exact	resolved	high	208885
mus_musculus	Mus Musculus	Ptpn11	3	false	Oas1a	downstream	3	-		false	exact	resolved	high	223008
mus_musculus	Mus Musculus	Ptpn11	4	false	Oas1g	downstream	4	-		false	exact	resolved	high	242920
mus_musculus	Mus Musculus	Ptpn11	5	false	Oas1h	downstream	5	+		false	exact	resolved	high	257027
rattus_norvegicus	Rattus Norvegicus	Ptpn11	-5	false	LOC100364561	upstream	5	+		true	placeholder	resolved	position_only	225914
rattus_norvegicus	Rattus Norvegicus	Ptpn11	-4	false	Hectd4	upstream	4	-		false	exact	resolved	high	34495
rattus_norvegicus	Rattus Norvegicus	Ptpn11	-3	false	LOC100909911	upstream	3	-		true	placeholder	resolved	position_only	208973
rattus_norvegicus	Rattus Norvegicus	Ptpn11	-2	false	Trafd1	upstream	2	+		false	exact	resolved	high	185910
rattus_norvegicus	Rattus Norvegicus	Ptpn11	-1	false	Rpl6	upstream	1	-		false	exact	resolved	high	13323
rattus_norvegicus	Rattus Norvegicus	Ptpn11	0	true		target	0	+	gene-Ptpn11	false	target	target	target	0
rattus_norvegicus	Rattus Norvegicus	Ptpn11	1	false	Rph3a	downstream	1	+		false	exact	resolved	high	117427
rattus_norvegicus	Rattus Norvegicus	Ptpn11	2	false	Oas1i	downstream	2	+		false	exact	resolved	high	199624
rattus_norvegicus	Rattus Norvegicus	Ptpn11	3	false	Oas1d	downstream	3	-		false	exact	resolved	high	223637
rattus_norvegicus	Rattus Norvegicus	Ptpn11	4	false	Oas1a	downstream	4	+		false	exact	resolved	high	244846
rattus_norvegicus	Rattus Norvegicus	Ptpn11	5	false	Oas1h	downstream	5	-		false	exact	resolved	high	257872
