transition	boundary_position_aa	left_exon	right_exon	nearest_domain_instance_id	nearest_domain_accession	nearest_domain_label	nearest_domain_start	nearest_domain_end	nearest_edge	nearest_edge_position	signed_distance_aa	absolute_distance_aa	boundary_class
E1 → E2	56	E1	E2	IPR007110:64-129	IPR007110	Ig1	64	129	start	64	-8	8	outside_annotated_domains
E2 → E3	145	E2	E3	IPR007110:64-129	IPR007110	Ig1	64	129	end	129	16	16	outside_annotated_domains
E3 → E4	171	E3	E4	IPR013098:190-267	IPR013098	Ig2	190	267	start	190	-19	19	outside_annotated_domains
E4 → E5	227	E4	E5	IPR013098:190-267	IPR013098	Ig2	190	267	start	190	37	37	inside_domain
E5 → E6	269	E5	E6	IPR013098:190-267	IPR013098	Ig2	190	267	end	267	2	2	near_domain_edge
E6 → E7	332	E6	E7	IPR013098:282-376	IPR013098	Ig3	282	376	end	376	-44	44	inside_domain
E7 → E8	381	E7	E8	IPR013098:282-376	IPR013098	Ig3	282	376	end	376	5	5	near_domain_edge
E8 → E9	446	E8	E9	IPR001245:455-788	IPR001245	kinase	455	788	start	455	-9	9	outside_annotated_domains
E9 → E10	497	E9	E10	IPR001245:455-788	IPR001245	kinase	455	788	start	455	42	42	inside_domain
E10 → E11	538	E10	E11	IPR001245:455-788	IPR001245	kinase	455	788	start	455	83	83	inside_domain
E11 → E12	575	E11	E12	IPR001245:455-788	IPR001245	kinase	455	788	start	455	120	120	inside_domain
E12 → E13	638	E12	E13	IPR001245:455-788	IPR001245	kinase	455	788	end	788	-150	150	inside_domain
E13 → E14	679	E13	E14	IPR001245:455-788	IPR001245	kinase	455	788	end	788	-109	109	inside_domain
E14 → E15	703	E14	E15	IPR001245:455-788	IPR001245	kinase	455	788	end	788	-85	85	inside_domain
E15 → E16	749	E15	E16	IPR001245:455-788	IPR001245	kinase	455	788	end	788	-39	39	inside_domain
E16 → E17	784	E16	E17	IPR001245:455-788	IPR001245	kinase	455	788	end	788	-4	4	near_domain_edge
