source	species	protein_id	protein_length	predicted_isoform	best_local_alignment_score	second_best_score	score_margin	cassette_start_aa	cassette_end_aa	reference_coverage	IIIb_score	IIIc_score
ensembl	anolis_carolinensis	ENSACAP00000022870	873	IIIb	208.0	118.5	89.5	366	411	1.0	208.0	118.5
ensembl	anolis_carolinensis	ENSACAP00000016963	873	IIIc	230.0	115.5	114.5	367	413	0.9791666666666666	115.5	230.0
ncbi	anolis_carolinensis	XP_062832082.1	873	IIIb	208.0	118.5	89.5	366	411	1.0	208.0	118.5
ncbi	anolis_carolinensis	XP_062832081.1	873	IIIc	230.0	115.5	114.5	367	413	0.9791666666666666	115.5	230.0
ensembl	danio_rerio	ENSDARP00000123845	815	IIIb	169.0	120.5	48.5	315	359	0.9782608695652174	169.0	120.5
ensembl	danio_rerio	ENSDARP00000124761	840	IIIc	224.0	107.5	116.5	338	384	0.9791666666666666	107.5	224.0
ncbi	danio_rerio	XP_068081039.1	838	IIIb	169.0	120.5	48.5	338	382	0.9782608695652174	169.0	120.5
ncbi	danio_rerio	XP_068081038.1	840	IIIc	224.0	107.5	116.5	338	384	0.9791666666666666	107.5	224.0
ensembl	gallus_gallus	ENSGALP00010001717	841	IIIb	223.0	116.5	106.5	335	380	1.0	223.0	116.5
ensembl	gallus_gallus	ENSGALP00010001719	842	IIIc	247.0	113.5	133.5	335	382	1.0	113.5	247.0
ncbi	gallus_gallus	XP_015144070.1	843	IIIb	223.0	116.5	106.5	335	380	1.0	223.0	116.5
ncbi	gallus_gallus	NP_990650.2	842	IIIc	247.0	113.5	133.5	335	382	1.0	113.5	247.0
ensembl	gasterosteus_aculeatus	ENSGACP00000047216	915	IIIb	181.0	118.5	62.5	126	170	0.9782608695652174	181.0	118.5
ensembl	gasterosteus_aculeatus	ENSGACP00000042484	762	IIIc	224.0	115.5	108.5	308	354	0.9791666666666666	115.5	224.0
ncbi	gasterosteus_aculeatus	XP_077960652.1	942	IIIb	182.0	119.5	62.5	126	170	0.9782608695652174	182.0	119.5
ncbi	gasterosteus_aculeatus	XP_077960645.1	946	IIIc	224.0	115.5	108.5	445	491	0.9791666666666666	115.5	224.0
ensembl	homo_sapiens	ENSP00000410294	822	IIIb	237.0	116.5	120.5	314	359	1.0	237.0	116.5
ensembl	homo_sapiens	ENSP00000351276	821	IIIc	250.0	116.5	133.5	314	361	1.0	116.5	250.0
ncbi	homo_sapiens	NP_075259.4	822	IIIb	237.0	116.5	120.5	314	359	1.0	237.0	116.5
ncbi	homo_sapiens	NP_000132.3	821	IIIc	250.0	116.5	133.5	314	361	1.0	116.5	250.0
ensembl	mus_musculus	ENSMUSP00000113180	822	IIIb	232.0	115.5	116.5	314	359	1.0	232.0	115.5
ensembl	mus_musculus	ENSMUSP00000112430	840	IIIc	250.0	116.5	133.5	333	380	1.0	116.5	250.0
ncbi	mus_musculus	NP_963895.2	726	IIIb	232.0	115.5	116.5	218	263	1.0	232.0	115.5
ncbi	mus_musculus	NP_034337.2	840	IIIc	250.0	116.5	133.5	333	380	1.0	116.5	250.0
ensembl	takifugu_rubripes	ENSTRUP00000045146	836	IIIb	188.0	125.5	62.5	337	381	0.9782608695652174	188.0	125.5
ensembl	takifugu_rubripes	ENSTRUP00000045145	838	IIIc	234.0	113.5	120.5	337	383	0.9791666666666666	113.5	234.0
ncbi	takifugu_rubripes	XP_011601191.1	836	IIIb	188.0	125.5	62.5	337	381	0.9782608695652174	188.0	125.5
ncbi	takifugu_rubripes	XP_011601188.1	838	IIIc	234.0	113.5	120.5	337	383	0.9791666666666666	113.5	234.0
ensembl	xenopus_tropicalis	ENSXETP00000087394	832	IIIb	187.0	112.5	74.5	326	368	0.9347826086956522	187.0	112.5
ensembl	xenopus_tropicalis	ENSXETP00000069725	910	IIIc	218.0	104.5	113.5	401	448	1.0	104.5	218.0
ncbi	xenopus_tropicalis	XP_012821352.1	834	IIIb	187.0	112.5	74.5	326	368	0.9347826086956522	187.0	112.5
ncbi	xenopus_tropicalis	XP_012821350.1	834	IIIc	218.0	104.5	113.5	325	372	1.0	104.5	218.0
