held_out_clade	alignment_column	selection_frequency	canonical_barcode
Mammals	1	0.003	True
Mammals	2	1.0	True
Mammals	3	0.0	False
Mammals	4	1.0	True
Mammals	5	0.0	False
Mammals	6	0.987	True
Mammals	7	1.0	True
Mammals	8	0.075	True
Mammals	9	0.0	False
Mammals	10	0.0	False
Mammals	11	0.082	True
Mammals	12	0.0	False
Mammals	13	0.0	False
Mammals	14	0.0	False
Mammals	15	0.591	False
Mammals	16	0.016	True
Mammals	17	0.082	False
Mammals	18	0.0	False
Mammals	19	0.0	False
Mammals	20	0.0	False
Mammals	21	0.963	True
Mammals	22	0.033	False
Mammals	23	0.0	False
Mammals	24	0.0	False
Mammals	25	0.0	False
Mammals	26	0.0	False
Mammals	27	0.0	False
Mammals	28	0.644	True
Mammals	29	0.0	False
Mammals	30	0.987	True
Mammals	31	0.981	True
Mammals	32	1.0	True
Mammals	33	0.0	False
Mammals	34	0.0	False
Mammals	35	0.0	False
Mammals	36	0.0	False
Mammals	37	0.0	False
Mammals	38	0.0	False
Mammals	39	0.0	False
Mammals	40	0.0	False
Mammals	41	0.0	False
Mammals	42	0.0	False
Mammals	43	0.0	False
Mammals	44	0.0	False
Mammals	45	0.0	False
Mammals	46	1.0	True
Mammals	47	0.0	False
Mammals	48	0.0	False
Mammals	49	1.0	False
Mammals	50	0.981	True
Mammals	51	0.046	True
Mammals	52	0.87	True
Mammals	53	0.608	False
Mammals	54	0.001	False
Mammals	55	0.0	False
Mammals	56	0.0	False
Mammals	57	0.0	False
Mammals	58	0.0	False
Mammals	59	0.0	False
Mammals	60	0.0	False
Mammals	61	0.0	False
Mammals	62	0.0	False
Mammals	63	0.0	False
Mammals	64	0.0	False
Mammals	65	0.0	False
Mammals	66	0.0	False
Mammals	67	0.0	False
Mammals	68	0.0	False
Mammals	69	0.0	False
Birds	1	0.409	True
Birds	2	1.0	True
Birds	3	0.0	False
Birds	4	1.0	True
Birds	5	0.0	False
Birds	6	1.0	True
Birds	7	1.0	True
Birds	8	0.76	True
Birds	9	0.0	False
Birds	10	0.0	False
Birds	11	0.771	True
Birds	12	0.0	False
Birds	13	0.0	False
Birds	14	0.0	False
Birds	15	0.043	False
Birds	16	0.588	True
Birds	17	0.043	False
Birds	18	0.0	False
Birds	19	0.0	False
Birds	20	0.0	False
Birds	21	0.999	True
Birds	22	0.158	False
Birds	23	0.0	False
Birds	24	0.0	False
Birds	25	0.0	False
Birds	26	0.0	False
Birds	27	0.0	False
Birds	28	0.998	True
Birds	29	0.0	False
Birds	30	1.0	True
Birds	31	1.0	True
Birds	32	1.0	True
Birds	33	0.0	False
Birds	34	0.0	False
Birds	35	0.0	False
Birds	36	0.0	False
Birds	37	0.0	False
Birds	38	0.0	False
Birds	39	0.0	False
Birds	40	0.0	False
Birds	41	0.0	False
Birds	42	0.0	False
Birds	43	0.0	False
Birds	44	0.0	False
Birds	45	0.0	False
Birds	46	1.0	True
Birds	47	0.0	False
Birds	48	0.0	False
Birds	49	0.051	False
Birds	50	1.0	True
Birds	51	0.745	True
Birds	52	0.998	True
Birds	53	0.0	False
Birds	54	0.0	False
Birds	55	0.0	False
Birds	56	0.0	False
Birds	57	0.0	False
Birds	58	0.0	False
Birds	59	0.0	False
Birds	60	0.0	False
Birds	61	0.0	False
Birds	62	0.0	False
Birds	63	0.0	False
Birds	64	0.0	False
Birds	65	0.0	False
Birds	66	0.0	False
Birds	67	0.0	False
Birds	68	0.0	False
Birds	69	0.0	False
Reptiles	1	0.603	True
Reptiles	2	1.0	True
Reptiles	3	0.0	False
Reptiles	4	1.0	True
Reptiles	5	0.0	False
Reptiles	6	1.0	True
Reptiles	7	1.0	True
Reptiles	8	0.752	True
Reptiles	9	0.0	False
Reptiles	10	0.0	False
Reptiles	11	0.896	True
Reptiles	12	0.0	False
Reptiles	13	0.0	False
Reptiles	14	0.0	False
Reptiles	15	0.029	False
Reptiles	16	0.603	True
Reptiles	17	0.029	False
Reptiles	18	0.0	False
Reptiles	19	0.0	False
Reptiles	20	0.0	False
Reptiles	21	1.0	True
Reptiles	22	0.28	False
Reptiles	23	0.0	False
Reptiles	24	0.0	False
Reptiles	25	0.0	False
Reptiles	26	0.0	False
Reptiles	27	0.0	False
Reptiles	28	0.991	True
Reptiles	29	0.0	False
Reptiles	30	1.0	True
Reptiles	31	1.0	True
Reptiles	32	1.0	True
Reptiles	33	0.0	False
Reptiles	34	0.0	False
Reptiles	35	0.0	False
Reptiles	36	0.0	False
Reptiles	37	0.0	False
Reptiles	38	0.0	False
Reptiles	39	0.0	False
Reptiles	40	0.0	False
Reptiles	41	0.0	False
Reptiles	42	0.0	False
Reptiles	43	0.0	False
Reptiles	44	0.0	False
Reptiles	45	0.0	False
Reptiles	46	1.0	True
Reptiles	47	0.0	False
Reptiles	48	0.0	False
Reptiles	49	0.04	False
Reptiles	50	1.0	True
Reptiles	51	0.745	True
Reptiles	52	0.999	True
Reptiles	53	0.0	False
Reptiles	54	0.0	False
Reptiles	55	0.0	False
Reptiles	56	0.0	False
Reptiles	57	0.0	False
Reptiles	58	0.0	False
Reptiles	59	0.0	False
Reptiles	60	0.0	False
Reptiles	61	0.0	False
Reptiles	62	0.0	False
Reptiles	63	0.0	False
Reptiles	64	0.0	False
Reptiles	65	0.0	False
Reptiles	66	0.0	False
Reptiles	67	0.0	False
Reptiles	68	0.0	False
Reptiles	69	0.0	False
Amphibians	1	0.704	True
Amphibians	2	1.0	True
Amphibians	3	0.0	False
Amphibians	4	1.0	True
Amphibians	5	0.0	False
Amphibians	6	1.0	True
Amphibians	7	1.0	True
Amphibians	8	0.9	True
Amphibians	9	0.0	False
Amphibians	10	0.0	False
Amphibians	11	0.769	True
Amphibians	12	0.0	False
Amphibians	13	0.0	False
Amphibians	14	0.0	False
Amphibians	15	0.013	False
Amphibians	16	0.9	True
Amphibians	17	0.009	False
Amphibians	18	0.0	False
Amphibians	19	0.0	False
Amphibians	20	0.0	False
Amphibians	21	1.0	True
Amphibians	22	0.281	False
Amphibians	23	0.0	False
Amphibians	24	0.0	False
Amphibians	25	0.0	False
Amphibians	26	0.0	False
Amphibians	27	0.0	False
Amphibians	28	0.992	True
Amphibians	29	0.0	False
Amphibians	30	1.0	True
Amphibians	31	1.0	True
Amphibians	32	1.0	True
Amphibians	33	0.0	False
Amphibians	34	0.0	False
Amphibians	35	0.0	False
Amphibians	36	0.0	False
Amphibians	37	0.0	False
Amphibians	38	0.0	False
Amphibians	39	0.0	False
Amphibians	40	0.0	False
Amphibians	41	0.0	False
Amphibians	42	0.0	False
Amphibians	43	0.0	False
Amphibians	44	0.0	False
Amphibians	45	0.0	False
Amphibians	46	1.0	True
Amphibians	47	0.0	False
Amphibians	48	0.0	False
Amphibians	49	0.026	False
Amphibians	50	1.0	True
Amphibians	51	0.942	True
Amphibians	52	1.0	True
Amphibians	53	0.001	False
Amphibians	54	0.0	False
Amphibians	55	0.0	False
Amphibians	56	0.0	False
Amphibians	57	0.0	False
Amphibians	58	0.0	False
Amphibians	59	0.0	False
Amphibians	60	0.0	False
Amphibians	61	0.0	False
Amphibians	62	0.0	False
Amphibians	63	0.0	False
Amphibians	64	0.0	False
Amphibians	65	0.0	False
Amphibians	66	0.0	False
Amphibians	67	0.0	False
Amphibians	68	0.0	False
Amphibians	69	0.0	False
Teleosts	1	0.98	True
Teleosts	2	1.0	True
Teleosts	3	0.0	False
Teleosts	4	1.0	True
Teleosts	5	0.0	False
Teleosts	6	1.0	True
Teleosts	7	1.0	True
Teleosts	8	1.0	True
Teleosts	9	0.0	False
Teleosts	10	0.0	False
Teleosts	11	1.0	True
Teleosts	12	0.0	False
Teleosts	13	0.0	False
Teleosts	14	0.0	False
Teleosts	15	0.087	False
Teleosts	16	0.997	True
Teleosts	17	0.087	False
Teleosts	18	0.0	False
Teleosts	19	0.0	False
Teleosts	20	0.0	False
Teleosts	21	1.0	True
Teleosts	22	0.786	False
Teleosts	23	0.0	False
Teleosts	24	0.0	False
Teleosts	25	0.0	False
Teleosts	26	0.0	False
Teleosts	27	0.0	False
Teleosts	28	1.0	True
Teleosts	29	0.0	False
Teleosts	30	1.0	True
Teleosts	31	1.0	True
Teleosts	32	1.0	True
Teleosts	33	0.0	False
Teleosts	34	0.0	False
Teleosts	35	0.0	False
Teleosts	36	0.0	False
Teleosts	37	0.0	False
Teleosts	38	0.0	False
Teleosts	39	0.0	False
Teleosts	40	0.0	False
Teleosts	41	0.0	False
Teleosts	42	0.0	False
Teleosts	43	0.0	False
Teleosts	44	0.0	False
Teleosts	45	0.0	False
Teleosts	46	1.0	True
Teleosts	47	0.0	False
Teleosts	48	0.0	False
Teleosts	49	0.088	False
Teleosts	50	1.0	True
Teleosts	51	0.997	True
Teleosts	52	1.0	True
Teleosts	53	0.0	False
Teleosts	54	0.0	False
Teleosts	55	0.0	False
Teleosts	56	0.0	False
Teleosts	57	0.0	False
Teleosts	58	0.0	False
Teleosts	59	0.0	False
Teleosts	60	0.0	False
Teleosts	61	0.0	False
Teleosts	62	0.0	False
Teleosts	63	0.0	False
Teleosts	64	0.0	False
Teleosts	65	0.0	False
Teleosts	66	0.0	False
Teleosts	67	0.0	False
Teleosts	68	0.0	False
Teleosts	69	0.0	False
