species	isoform	transcript_id	protein_id	protein_length	feature_type	feature_label	start_aa	end_aa	track	source	status
alligator_mississippiensis	IIIb	XM_059730070.1	XP_059586053.1	869	ig_like_domain	Ig1	67	131	domain	interproscan	representative
alligator_mississippiensis	IIIb	XM_059730070.1	XP_059586053.1	869	ig_like_domain	Ig2	192	269	domain	interproscan	representative
alligator_mississippiensis	IIIb	XM_059730070.1	XP_059586053.1	869	ig_like_domain	Ig3	284	378	domain	interproscan	representative
alligator_mississippiensis	IIIb	XM_059730070.1	XP_059586053.1	869	transmembrane_pytmhmm	TM	396	418	domain	pyTMHMM	receptor_tm
alligator_mississippiensis	IIIb	XM_059730070.1	XP_059586053.1	869	transmembrane_pytmhmm	sig. anchor	19	41	domain	pyTMHMM	n_terminal_signal_anchor
alligator_mississippiensis	IIIb	XM_059730070.1	XP_059586053.1	869	kinase_domain	kinase	459	792	domain	interproscan	representative
alligator_mississippiensis	IIIb	XM_059730070.1	XP_059586053.1	869	other_domain	FGFR family fingerprint	28	820	domain	interproscan	family_level
alligator_mississippiensis	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon	exon 1 (CDS1)	1	59	exon	figure3C	coordinate_mapped
alligator_mississippiensis	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon	exon 2 (CDS2)	59	148	exon	figure3C	coordinate_mapped
alligator_mississippiensis	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon	exon 3 (CDS3)	148	173	exon	figure3C	coordinate_mapped
alligator_mississippiensis	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon	exon 4 (CDS4)	173	229	exon	figure3C	coordinate_mapped
alligator_mississippiensis	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon	exon 5 (CDS5)	230	271	exon	figure3C	coordinate_mapped
alligator_mississippiensis	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon	exon 6 (CDS6)	271	334	exon	figure3C	coordinate_mapped
alligator_mississippiensis	IIIb	XM_059730070.1	XP_059586053.1	869	IIIb_slot	exon 7 (IIIb cassette)	335	383	cassette	figure3C	coordinate_mapped
alligator_mississippiensis	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon	exon 8 (CDS8)	383	450	exon	figure3C	coordinate_mapped
alligator_mississippiensis	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon	exon 9 (CDS9)	451	501	exon	figure3C	coordinate_mapped
alligator_mississippiensis	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon	exon 10 (CDS10)	501	542	exon	figure3C	coordinate_mapped
alligator_mississippiensis	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon	exon 11 (CDS11)	542	579	exon	figure3C	coordinate_mapped
alligator_mississippiensis	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon	exon 12 (CDS12)	579	642	exon	figure3C	coordinate_mapped
alligator_mississippiensis	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon	exon 13 (CDS13)	643	683	exon	figure3C	coordinate_mapped
alligator_mississippiensis	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon	exon 14 (CDS14)	684	707	exon	figure3C	coordinate_mapped
alligator_mississippiensis	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon	exon 15 (CDS15)	707	753	exon	figure3C	coordinate_mapped
alligator_mississippiensis	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon	exon 16 (CDS16)	753	788	exon	figure3C	coordinate_mapped
alligator_mississippiensis	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon	exon 17 (CDS17)	789	814	exon	figure3C	coordinate_mapped
alligator_mississippiensis	IIIb	XM_059730070.1	XP_059586053.1	869	coding_exon	exon 18 (CDS18)	814	869	exon	figure3C	coordinate_mapped
alligator_mississippiensis	IIIb	XM_059730070.1	XP_059586053.1	869	warning	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor)			warning	qc	architecture_supported
alligator_mississippiensis	IIIb	XM_059730070.1	XP_059586053.1	869	warning	Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering)			warning	qc	architecture_supported
alligator_mississippiensis	IIIc	XM_006266126.4	XP_006266188.1	868	ig_like_domain	Ig1	67	131	domain	interproscan	representative
alligator_mississippiensis	IIIc	XM_006266126.4	XP_006266188.1	868	ig_like_domain	Ig2	192	269	domain	interproscan	representative
alligator_mississippiensis	IIIc	XM_006266126.4	XP_006266188.1	868	ig_like_domain	Ig3	284	380	domain	interproscan	representative
alligator_mississippiensis	IIIc	XM_006266126.4	XP_006266188.1	868	transmembrane_pytmhmm	TM	395	417	domain	pyTMHMM	receptor_tm
alligator_mississippiensis	IIIc	XM_006266126.4	XP_006266188.1	868	transmembrane_pytmhmm	sig. anchor	19	41	domain	pyTMHMM	n_terminal_signal_anchor
alligator_mississippiensis	IIIc	XM_006266126.4	XP_006266188.1	868	kinase_domain	kinase	458	791	domain	interproscan	representative
alligator_mississippiensis	IIIc	XM_006266126.4	XP_006266188.1	868	other_domain	FGFR family fingerprint	28	819	domain	interproscan	family_level
alligator_mississippiensis	IIIc	XM_006266126.4	XP_006266188.1	868	coding_exon	exon 1 (CDS1)	1	59	exon	figure3C	coordinate_mapped
alligator_mississippiensis	IIIc	XM_006266126.4	XP_006266188.1	868	coding_exon	exon 2 (CDS2)	59	148	exon	figure3C	coordinate_mapped
alligator_mississippiensis	IIIc	XM_006266126.4	XP_006266188.1	868	coding_exon	exon 3 (CDS3)	148	173	exon	figure3C	coordinate_mapped
alligator_mississippiensis	IIIc	XM_006266126.4	XP_006266188.1	868	coding_exon	exon 4 (CDS4)	173	229	exon	figure3C	coordinate_mapped
alligator_mississippiensis	IIIc	XM_006266126.4	XP_006266188.1	868	coding_exon	exon 5 (CDS5)	230	271	exon	figure3C	coordinate_mapped
alligator_mississippiensis	IIIc	XM_006266126.4	XP_006266188.1	868	coding_exon	exon 6 (CDS6)	271	334	exon	figure3C	coordinate_mapped
alligator_mississippiensis	IIIc	XM_006266126.4	XP_006266188.1	868	IIIc_slot	exon 7 (IIIc cassette)	335	384	cassette	figure3C	coordinate_mapped
alligator_mississippiensis	IIIc	XM_006266126.4	XP_006266188.1	868	coding_exon	exon 8 (CDS8)	384	451	exon	figure3C	coordinate_mapped
alligator_mississippiensis	IIIc	XM_006266126.4	XP_006266188.1	868	coding_exon	exon 9 (CDS9)	452	502	exon	figure3C	coordinate_mapped
alligator_mississippiensis	IIIc	XM_006266126.4	XP_006266188.1	868	coding_exon	exon 10 (CDS10)	502	543	exon	figure3C	coordinate_mapped
alligator_mississippiensis	IIIc	XM_006266126.4	XP_006266188.1	868	coding_exon	exon 11 (CDS11)	543	580	exon	figure3C	coordinate_mapped
alligator_mississippiensis	IIIc	XM_006266126.4	XP_006266188.1	868	coding_exon	exon 12 (CDS12)	580	643	exon	figure3C	coordinate_mapped
alligator_mississippiensis	IIIc	XM_006266126.4	XP_006266188.1	868	coding_exon	exon 13 (CDS13)	644	684	exon	figure3C	coordinate_mapped
alligator_mississippiensis	IIIc	XM_006266126.4	XP_006266188.1	868	coding_exon	exon 14 (CDS14)	685	708	exon	figure3C	coordinate_mapped
alligator_mississippiensis	IIIc	XM_006266126.4	XP_006266188.1	868	coding_exon	exon 15 (CDS15)	708	754	exon	figure3C	coordinate_mapped
alligator_mississippiensis	IIIc	XM_006266126.4	XP_006266188.1	868	coding_exon	exon 16 (CDS16)	754	789	exon	figure3C	coordinate_mapped
alligator_mississippiensis	IIIc	XM_006266126.4	XP_006266188.1	868	coding_exon	exon 17 (CDS17)	790	815	exon	figure3C	coordinate_mapped
alligator_mississippiensis	IIIc	XM_006266126.4	XP_006266188.1	868	coding_exon	exon 18 (CDS18)	815	868	exon	figure3C	coordinate_mapped
alligator_mississippiensis	IIIc	XM_006266126.4	XP_006266188.1	868	warning	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor)			warning	qc	architecture_supported
alligator_mississippiensis	IIIc	XM_006266126.4	XP_006266188.1	868	warning	Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering)			warning	qc	architecture_supported
alligator_mississippiensis	IIIc	XM_006266126.4	XP_006266188.1	868	warning	final coding-exon block end clamped to protein length (+1/+2 aa codon-boundary rounding)			warning	qc	architecture_supported
alligator_mississippiensis	IIIc	XM_006266126.4	XP_006266188.1	868	warning	coordinates otherwise unchanged			warning	qc	architecture_supported
ambystoma_mexicanum	IIIb	XM_069611953.1	XP_069468054.1	840	ig_like_domain	Ig1	58	144	domain	interproscan	representative
ambystoma_mexicanum	IIIb	XM_069611953.1	XP_069468054.1	840	ig_like_domain	Ig2	189	266	domain	interproscan	representative
ambystoma_mexicanum	IIIb	XM_069611953.1	XP_069468054.1	840	ig_like_domain	Ig3	281	375	domain	interproscan	representative
ambystoma_mexicanum	IIIb	XM_069611953.1	XP_069468054.1	840	transmembrane_pytmhmm	TM	393	415	domain	pyTMHMM	receptor_tm
