species_id	gene_symbol	neighbor_symbol	side	order	orientation	classification	source	status	seqid	genomic_start	genomic_end	distance_to_target
homo_sapiens	BCL2L1	COX4I2	downstream	1	+	same_scaffold_ordered	ncbi_gff	resolved	NC_000020.11	31637912	31645006	19446
homo_sapiens	BCL2L1	TPX2	upstream	1	+	same_scaffold_ordered	ncbi_gff	resolved	NC_000020.11	31739290	31801800	15327
homo_sapiens	BCL2L1	ID1	downstream	2	+	same_scaffold_ordered	ncbi_gff	resolved	NC_000020.11	31605289	31606510	57942
homo_sapiens	BCL2L1	MYLK2	upstream	2	+	same_scaffold_ordered	ncbi_gff	resolved	NC_000020.11	31819356	31834684	95393
homo_sapiens	BCL2L1	MCTS2	downstream	3	+	same_scaffold_ordered	ncbi_gff	resolved	NC_000020.11	31547379	31548081	116371
homo_sapiens	BCL2L1	FOXS1	upstream	3	-	same_scaffold_ordered	ncbi_gff	resolved	NC_000020.11	31844303	31845604	120340
homo_sapiens	BCL2L1	HM13	downstream	4	+	same_scaffold_ordered	ncbi_gff	resolved	NC_000020.11	31514442	31569543	94909
homo_sapiens	BCL2L1	DUSP15	upstream	4	-	same_scaffold_ordered	ncbi_gff	resolved	NC_000020.11	31845593	31870664	121630
homo_sapiens	BCL2L1	REM1	downstream	5	+	same_scaffold_ordered	ncbi_gff	resolved	NC_000020.11	31475288	31484895	179557
homo_sapiens	BCL2L1	TTLL9	upstream	5	+	same_scaffold_ordered	ncbi_gff	resolved	NC_000020.11	31870634	31945000	146671
mus_musculus	BCL2L1	Cox4i2	downstream	1	+	same_scaffold_ordered	ncbi_gff	resolved	NC_000068.8	152596093	152606957	0
mus_musculus	BCL2L1	Tpx2	upstream	1	+	same_scaffold_ordered	ncbi_gff	resolved	NC_000068.8	152689859	152737241	16227
mus_musculus	BCL2L1	Id1	downstream	2	+	same_scaffold_ordered	ncbi_gff	resolved	NC_000068.8	152578171	152579330	21322
mus_musculus	BCL2L1	Mylk2	upstream	2	+	same_scaffold_ordered	ncbi_gff	resolved	NC_000068.8	152753265	152764985	79633
mus_musculus	BCL2L1	Mcts2	downstream	3	+	same_scaffold_ordered	ncbi_gff	resolved	NC_000068.8	152529091	152529871	70781
mus_musculus	BCL2L1	Foxs1	upstream	3	-	same_scaffold_ordered	ncbi_gff	resolved	NC_000068.8	152773818	152775128	100186
mus_musculus	BCL2L1	H13	downstream	4	+	same_scaffold_ordered	ncbi_gff	resolved	NC_000068.8	152511292	152550590	50062
mus_musculus	BCL2L1	Dusp15	upstream	4	-	same_scaffold_ordered	ncbi_gff	resolved	NC_000068.8	152782915	152794200	109283
mus_musculus	BCL2L1	Rem1	downstream	5	+	same_scaffold_ordered	ncbi_gff	resolved	NC_000068.8	152468928	152477111	123541
mus_musculus	BCL2L1	Ttll9	upstream	5	+	same_scaffold_ordered	ncbi_gff	resolved	NC_000068.8	152792966	152850402	119334
