exon_label	exon_number	protein_start_aa	protein_end_aa	length_aa	genomic_start	genomic_end	transcript_id
E1	1	1	56	56			XM_077947649.1
E2	2	56	145	90			XM_077947649.1
E3	3	145	171	27			XM_077947649.1
E4	4	171	227	57			XM_077947649.1
E5	5	228	269	42			XM_077947649.1
E6	6	269	332	64			XM_077947649.1
E7	7	333	382	50			XM_077947649.1
E8	8	382	447	66			XM_077947649.1
E9	9	448	498	51			XM_077947649.1
E10	10	498	539	42			XM_077947649.1
E11	11	539	576	38			XM_077947649.1
E12	12	576	639	64			XM_077947649.1
E13	13	640	680	41			XM_077947649.1
E14	14	681	704	24			XM_077947649.1
E15	15	704	750	47			XM_077947649.1
E16	16	750	785	36			XM_077947649.1
E17	17	786	838	53			XM_077947649.1
