sequence_id	sequence_md5	sequence_length	member_database	signature_accession	signature_description	domain_start_aa	domain_end_aa	score	status	date	interpro_accession	interpro_description	go_terms	pathways	safe_species	source	predicted_isoform	protein_id	species	cassette_start_aa	cassette_end_aa	protein_length	is_ig_call	overlap_start	overlap_end	overlap_aa	end_signed_offset	end_abs_offset	start_inside	start_distance_nearest_edge
gallus_gallus|ensembl|IIIc|ENSGALP00010001719	489f352df036304959f52c6c76615468	842	ProSiteProfiles	PS50835	Ig-like domain profile.	277	379	10.0086	T	04-08-2026	IPR007110	Immunoglobulin-like domain	-	-	gallus_gallus	ensembl	IIIc	ENSGALP00010001719	gallus_gallus	335	382	842	True	335	379	45	-3	3	True	44
gallus_gallus|ensembl|IIIc|ENSGALP00010001719	489f352df036304959f52c6c76615468	842	Pfam	PF13927	Immunoglobulin domain	286	367	1.8E-6	T	04-08-2026	-	-	-	-	gallus_gallus	ensembl	IIIc	ENSGALP00010001719	gallus_gallus	335	382	842	True	335	367	33	-15	15	True	32
gallus_gallus|ensembl|IIIc|ENSGALP00010001719	489f352df036304959f52c6c76615468	842	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	272	386	1.0E-30	T	04-08-2026	IPR013783	Immunoglobulin-like fold	-	-	gallus_gallus	ensembl	IIIc	ENSGALP00010001719	gallus_gallus	335	382	842	True	335	382	48	4	4	True	51
gallus_gallus|ensembl|IIIc|ENSGALP00010001719	489f352df036304959f52c6c76615468	842	SUPERFAMILY	SSF48726	Immunoglobulin	277	380	3.54E-21	T	04-08-2026	IPR036179	Immunoglobulin-like domain superfamily	-	-	gallus_gallus	ensembl	IIIc	ENSGALP00010001719	gallus_gallus	335	382	842	True	335	380	46	-2	2	True	45
gallus_gallus|ensembl|IIIc|ENSGALP00010001719	489f352df036304959f52c6c76615468	842	SMART	SM00408	igc2_5	290	370	9.5E-7	T	04-08-2026	IPR003598	Immunoglobulin subtype 2	-	-	gallus_gallus	ensembl	IIIc	ENSGALP00010001719	gallus_gallus	335	382	842	True	335	370	36	-12	12	True	35
gallus_gallus|ensembl|IIIc|ENSGALP00010001719	489f352df036304959f52c6c76615468	842	SMART	SM00409	IG_3c	284	381	2.8E-14	T	04-08-2026	IPR003599	Immunoglobulin domain subtype	-	-	gallus_gallus	ensembl	IIIc	ENSGALP00010001719	gallus_gallus	335	382	842	True	335	381	47	-1	1	True	46
gallus_gallus|ncbi|IIIc|NP_990650.2	489f352df036304959f52c6c76615468	842	ProSiteProfiles	PS50835	Ig-like domain profile.	277	379	10.0086	T	04-08-2026	IPR007110	Immunoglobulin-like domain	-	-	gallus_gallus	ncbi	IIIc	NP_990650.2	gallus_gallus	335	382	842	True	335	379	45	-3	3	True	44
gallus_gallus|ncbi|IIIc|NP_990650.2	489f352df036304959f52c6c76615468	842	Pfam	PF13927	Immunoglobulin domain	286	367	1.8E-6	T	04-08-2026	-	-	-	-	gallus_gallus	ncbi	IIIc	NP_990650.2	gallus_gallus	335	382	842	True	335	367	33	-15	15	True	32
gallus_gallus|ncbi|IIIc|NP_990650.2	489f352df036304959f52c6c76615468	842	Gene3D	G3DSA:2.60.40.10	Immunoglobulins	272	386	1.0E-30	T	04-08-2026	IPR013783	Immunoglobulin-like fold	-	-	gallus_gallus	ncbi	IIIc	NP_990650.2	gallus_gallus	335	382	842	True	335	382	48	4	4	True	51
gallus_gallus|ncbi|IIIc|NP_990650.2	489f352df036304959f52c6c76615468	842	SUPERFAMILY	SSF48726	Immunoglobulin	277	380	3.54E-21	T	04-08-2026	IPR036179	Immunoglobulin-like domain superfamily	-	-	gallus_gallus	ncbi	IIIc	NP_990650.2	gallus_gallus	335	382	842	True	335	380	46	-2	2	True	45
