transition	boundary_position_aa	left_exon	right_exon	nearest_domain_instance_id	nearest_domain_accession	nearest_domain_label	nearest_domain_start	nearest_domain_end	nearest_edge	nearest_edge_position	signed_distance_aa	absolute_distance_aa	boundary_class
E1 → E2	56	E1	E2	IPR007110:58-144	IPR007110	Ig1	58	144	start	58	-2	2	near_domain_edge
E2 → E3	145	E2	E3	IPR007110:58-144	IPR007110	Ig1	58	144	end	144	1	1	near_domain_edge
E3 → E4	170	E3	E4	IPR013098:189-266	IPR013098	Ig2	189	266	start	189	-19	19	outside_annotated_domains
E4 → E5	226	E4	E5	IPR013098:189-266	IPR013098	Ig2	189	266	start	189	37	37	inside_domain
E5 → E6	268	E5	E6	IPR013098:189-266	IPR013098	Ig2	189	266	end	266	2	2	near_domain_edge
E6 → E7	331	E6	E7	IPR013098:281-377	IPR013098	Ig3	281	377	end	377	-46	46	inside_domain
E7 → E8	380	E7	E8	IPR013098:281-377	IPR013098	Ig3	281	377	end	377	3	3	near_domain_edge
E8 → E9	447	E8	E9	IPR001245:454-787	IPR001245	kinase	454	787	start	454	-7	7	outside_annotated_domains
E9 → E10	497	E9	E10	IPR001245:454-787	IPR001245	kinase	454	787	start	454	43	43	inside_domain
E10 → E11	538	E10	E11	IPR001245:454-787	IPR001245	kinase	454	787	start	454	84	84	inside_domain
E11 → E12	575	E11	E12	IPR001245:454-787	IPR001245	kinase	454	787	start	454	121	121	inside_domain
E12 → E13	638	E12	E13	IPR001245:454-787	IPR001245	kinase	454	787	end	787	-149	149	inside_domain
E13 → E14	679	E13	E14	IPR001245:454-787	IPR001245	kinase	454	787	end	787	-108	108	inside_domain
E14 → E15	703	E14	E15	IPR001245:454-787	IPR001245	kinase	454	787	end	787	-84	84	inside_domain
E15 → E16	749	E15	E16	IPR001245:454-787	IPR001245	kinase	454	787	end	787	-38	38	inside_domain
E16 → E17	784	E16	E17	IPR001245:454-787	IPR001245	kinase	454	787	end	787	-3	3	near_domain_edge
