species	isoform	final_claim_status_after_rescue	pre_interpro_readiness_class	rescue_decision	visual_review_flag	final_plot_status	source_coordinate_table	final_isoform_label	cassette_length_aa	cassette_msa_start_col	cassette_msa_end_col
homo_sapiens	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	46	1	48
homo_sapiens	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	48	1	66
pan_troglodytes	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	46	1	48
pan_troglodytes	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	48	1	66
gorilla_gorilla_gorilla	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	46	1	48
gorilla_gorilla_gorilla	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	rescued_with_external_validated_candidate_pair	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	48	1	66
pongo_abelii	IIIb	supplement_review	supplement_review_only	sequence_support_only_keep_supplement	true	supplement_review	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	47	2	48
pongo_abelii	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	48	1	66
macaca_mulatta	IIIb	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIb	46	1	48
macaca_mulatta	IIIc	primary_claim_supported_with_minor_flags	ready_for_interpro_with_minor_flags	current_candidate_confirmed_after_exhaustive_screen	false	primary_minor_flags	MSA/final_cassette_msa_boundary_projection.tsv	IIIc	48	1	66
