protein_id	transcript_id	is_primary	curation_status	protein_length	alignment_columns	identity_to_primary_pct	gap_columns	differing_columns	candidate_id	candidate_alignment_columns	candidate_identity_pct	candidate_role
NP_001304849.1	NM_001317920.2	true	curated	233	233	100	0	0	C1	126-188	100	reference
NP_001182.1	NM_001191.4	false	curated	170	233	100	63	0	C1	126-188		affected
NP_001304848.1	NM_001317919.2	false	curated	233	233	100	0	0	C1	126-188	100	unaffected
NP_001304850.1	NM_001317921.2	false	curated	233	233	100	0	0	C1	126-188	100	unaffected
NP_001309168.1	NM_001322239.2	false	curated	233	233	100	0	0	C1	126-188	100	unaffected
NP_001309169.1	NM_001322240.2	false	curated	233	233	100	0	0	C1	126-188	100	unaffected
NP_001309171.1	NM_001322242.2	false	curated	233	233	100	0	0	C1	126-188	100	unaffected
NP_001411260.1	NM_001424331.1	false	curated	233	233	100	0	0	C1	126-188	100	unaffected
NP_001411261.1	NM_001424332.1	false	curated	233	233	100	0	0	C1	126-188	100	unaffected
NP_612815.1	NM_138578.3	false	curated	233	233	100	0	0	C1	126-188	100	unaffected
