species_id	scientific_name	protein_id	exon_id	exon_label	native_start	native_end	msa_start_column	msa_end_column	msa_mapping_status
homo_sapiens	Homo Sapiens	NP_001317366.1	NP_001317366.1:cds1	E1	1	5	1	5	mapped
homo_sapiens	Homo Sapiens	NP_001317366.1	NP_001317366.1:cds2	E2	5	46	5	46	mapped
homo_sapiens	Homo Sapiens	NP_001317366.1	NP_001317366.1:cds3	E3	46	111	46	111	mapped
homo_sapiens	Homo Sapiens	NP_001317366.1	NP_001317366.1:cds4	E4	111	175	111	175	mapped
homo_sapiens	Homo Sapiens	NP_001317366.1	NP_001317366.1:cds5	E5	176	214	176	214	mapped
homo_sapiens	Homo Sapiens	NP_001317366.1	NP_001317366.1:cds6	E6	215	252	215	252	mapped
homo_sapiens	Homo Sapiens	NP_001317366.1	NP_001317366.1:cds7	E7	253	285	253	285	mapped
homo_sapiens	Homo Sapiens	NP_001317366.1	NP_001317366.1:cds8	E8	285	311	285	311	mapped
homo_sapiens	Homo Sapiens	NP_001317366.1	NP_001317366.1:cds9	E9	312	364	312	364	mapped
homo_sapiens	Homo Sapiens	NP_001317366.1	NP_001317366.1:cds10	E10	365	408	365	408	mapped
homo_sapiens	Homo Sapiens	NP_001317366.1	NP_001317366.1:cds11	E11	409	464	409	464	mapped
homo_sapiens	Homo Sapiens	NP_001317366.1	NP_001317366.1:cds12	E12	464	487	464	487	mapped
homo_sapiens	Homo Sapiens	NP_001317366.1	NP_001317366.1:cds13	E13	487	537	487	537	mapped
homo_sapiens	Homo Sapiens	NP_001317366.1	NP_001317366.1:cds14	E14	538	575	538	575	mapped
homo_sapiens	Homo Sapiens	NP_001317366.1	NP_001317366.1:cds15	E15	575	597	575	597	mapped
mus_musculus	Mus Musculus	NP_035332.1	NP_035332.1:cds1	E1	1	5	1	5	mapped
mus_musculus	Mus Musculus	NP_035332.1	NP_035332.1:cds2	E2	5	46	5	46	mapped
mus_musculus	Mus Musculus	NP_035332.1	NP_035332.1:cds3	E3	46	111	46	111	mapped
mus_musculus	Mus Musculus	NP_035332.1	NP_035332.1:cds4	E4	111	175	111	175	mapped
mus_musculus	Mus Musculus	NP_035332.1	NP_035332.1:cds5	E5	176	214	176	214	mapped
mus_musculus	Mus Musculus	NP_035332.1	NP_035332.1:cds6	E6	215	252	215	252	mapped
mus_musculus	Mus Musculus	NP_035332.1	NP_035332.1:cds7	E7	253	285	253	285	mapped
mus_musculus	Mus Musculus	NP_035332.1	NP_035332.1:cds8	E8	285	311	285	311	mapped
mus_musculus	Mus Musculus	NP_035332.1	NP_035332.1:cds9	E9	312	364	312	364	mapped
mus_musculus	Mus Musculus	NP_035332.1	NP_035332.1:cds10	E10	365	408	365	408	mapped
mus_musculus	Mus Musculus	NP_035332.1	NP_035332.1:cds11	E11	409	464	409	464	mapped
mus_musculus	Mus Musculus	NP_035332.1	NP_035332.1:cds12	E12	464	487	464	487	mapped
mus_musculus	Mus Musculus	NP_035332.1	NP_035332.1:cds13	E13	487	537	487	537	mapped
mus_musculus	Mus Musculus	NP_035332.1	NP_035332.1:cds14	E14	538	575	538	575	mapped
mus_musculus	Mus Musculus	NP_035332.1	NP_035332.1:cds15	E15	575	597	575	597	mapped
rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NP_001171064.1:cds1	E1	1	5	1	5	mapped
rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NP_001171064.1:cds2	E2	5	46	5	46	mapped
rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NP_001171064.1:cds3	E3	46	111	46	111	mapped
rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NP_001171064.1:cds4	E4	111	175	111	175	mapped
rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NP_001171064.1:cds5	E5	176	214	176	214	mapped
rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NP_001171064.1:cds6	E6	215	252	215	252	mapped
rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NP_001171064.1:cds7	E7	253	285	253	285	mapped
rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NP_001171064.1:cds8	E8	285	311	285	311	mapped
rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NP_001171064.1:cds9	E9	312	364	312	364	mapped
rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NP_001171064.1:cds10	E10	365	408	365	408	mapped
rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NP_001171064.1:cds11	E11	409	464	409	464	mapped
rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NP_001171064.1:cds12	E12	464	487	464	487	mapped
rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NP_001171064.1:cds13	E13	487	537	487	537	mapped
rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NP_001171064.1:cds14	E14	538	575	538	575	mapped
rattus_norvegicus	Rattus Norvegicus	NP_001171064.1	NP_001171064.1:cds15	E15	575	597	575	597	mapped
