transition	boundary_position_aa	left_exon	right_exon	nearest_domain_instance_id	nearest_domain_accession	nearest_domain_label	nearest_domain_start	nearest_domain_end	nearest_edge	nearest_edge_position	signed_distance_aa	absolute_distance_aa	boundary_class
E1 → E2	56	E1	E2	IPR013098:65-142	IPR013098	Ig1	65	142	start	65	-9	9	outside_annotated_domains
E2 → E3	145	E2	E3	IPR013098:65-142	IPR013098	Ig1	65	142	end	142	3	3	near_domain_edge
E3 → E4	170	E3	E4	IPR013098:189-266	IPR013098	Ig2	189	266	start	189	-19	19	outside_annotated_domains
E4 → E5	226	E4	E5	IPR013098:189-266	IPR013098	Ig2	189	266	start	189	37	37	inside_domain
E5 → E6	268	E5	E6	IPR013098:189-266	IPR013098	Ig2	189	266	end	266	2	2	near_domain_edge
E6 → E7	331	E6	E7	IPR013098:281-375	IPR013098	Ig3	281	375	end	375	-44	44	inside_domain
E7 → E8	380	E7	E8	IPR013098:281-375	IPR013098	Ig3	281	375	end	375	5	5	near_domain_edge
E8 → E9	447	E8	E9	IPR001245:456-789	IPR001245	kinase	456	789	start	456	-9	9	outside_annotated_domains
E9 → E10	498	E9	E10	IPR001245:456-789	IPR001245	kinase	456	789	start	456	42	42	inside_domain
E10 → E11	539	E10	E11	IPR001245:456-789	IPR001245	kinase	456	789	start	456	83	83	inside_domain
E11 → E12	576	E11	E12	IPR001245:456-789	IPR001245	kinase	456	789	start	456	120	120	inside_domain
E12 → E13	639	E12	E13	IPR001245:456-789	IPR001245	kinase	456	789	end	789	-150	150	inside_domain
E13 → E14	680	E13	E14	IPR001245:456-789	IPR001245	kinase	456	789	end	789	-109	109	inside_domain
E14 → E15	704	E14	E15	IPR001245:456-789	IPR001245	kinase	456	789	end	789	-85	85	inside_domain
E15 → E16	750	E15	E16	IPR001245:456-789	IPR001245	kinase	456	789	end	789	-39	39	inside_domain
E16 → E17	785	E16	E17	IPR001245:456-789	IPR001245	kinase	456	789	end	789	-4	4	near_domain_edge
