transition	boundary_position_aa	left_exon	right_exon	nearest_domain_instance_id	nearest_domain_accession	nearest_domain_label	nearest_domain_start	nearest_domain_end	nearest_edge	nearest_edge_position	signed_distance_aa	absolute_distance_aa	boundary_class
E1 → E2	66	E1	E2	IPR013098:74-168	IPR013098	Ig1	74	168	start	74	-8	8	outside_annotated_domains
E2 → E3	112	E2	E3	IPR013098:74-168	IPR013098	Ig1	74	168	start	74	38	38	inside_domain
E3 → E4	135	E3	E4	IPR013098:74-168	IPR013098	Ig1	74	168	end	168	-33	33	inside_domain
E4 → E5	176	E4	E5	IPR013098:74-168	IPR013098	Ig1	74	168	end	168	8	8	outside_annotated_domains
E5 → E6	240	E5	E6	IPR013098:299-376	IPR013098	Ig2	299	376	start	299	-59	59	outside_annotated_domains
E6 → E7	277	E6	E7	IPR013098:299-376	IPR013098	Ig2	299	376	start	299	-22	22	outside_annotated_domains
E7 → E8	318	E7	E8	IPR013098:299-376	IPR013098	Ig2	299	376	start	299	19	19	inside_domain
E8 → E9	364	E8	E9	IPR013098:299-376	IPR013098	Ig2	299	376	end	376	-12	12	inside_domain
E9 → E10	429	E9	E10	IPR013098:391-485	IPR013098	Ig3	391	485	start	391	38	38	inside_domain
E10 → E11	475	E10	E11	IPR013098:391-485	IPR013098	Ig3	391	485	end	485	-10	10	inside_domain
E11 → E12	539	E11	E12	IPR001245:559-880	IPR001245	kinase	559	880	start	559	-20	20	outside_annotated_domains
E12 → E13	580	E12	E13	IPR001245:559-880	IPR001245	kinase	559	880	start	559	21	21	inside_domain
E13 → E14	637	E13	E14	IPR001245:559-880	IPR001245	kinase	559	880	start	559	78	78	inside_domain
E14 → E15	662	E14	E15	IPR001245:559-880	IPR001245	kinase	559	880	start	559	103	103	inside_domain
E15 → E16	746	E15	E16	IPR001245:559-880	IPR001245	kinase	559	880	end	880	-134	134	inside_domain
E16 → E17	792	E16	E17	IPR001245:559-880	IPR001245	kinase	559	880	end	880	-88	88	inside_domain
E17 → E18	856	E17	E18	IPR001245:559-880	IPR001245	kinase	559	880	end	880	-24	24	inside_domain
