species_id	scientific_name	target_gene	slot_x	is_target	neighbour_symbol	side	order	orientation	gene_id	placeholder	classification	status	orthology_confidence	distance_to_target
homo_sapiens	Homo Sapiens	PTPN11	-5	False	ERP29	upstream	5	+		False	exact	resolved	high	395498
homo_sapiens	Homo Sapiens	PTPN11	-4	False	NAA25	upstream	4	-		False	exact	resolved	high	310164
homo_sapiens	Homo Sapiens	PTPN11	-3	False	TRAFD1	upstream	3	+		False	exact	resolved	high	265343
homo_sapiens	Homo Sapiens	PTPN11	-2	False	HECTD4	upstream	2	-		False	exact	resolved	high	36516
homo_sapiens	Homo Sapiens	PTPN11	-1	False	RPL6	upstream	1	-		False	exact	resolved	high	112
homo_sapiens	Homo Sapiens	PTPN11	0	True		target	0	+	gene-PTPN11	False	target	target	target	0
homo_sapiens	Homo Sapiens	PTPN11	1	False	RPH3A	downstream	1	+		False	exact	resolved	high	65318
homo_sapiens	Homo Sapiens	PTPN11	2	False	OAS1	downstream	2	+		False	exact	resolved	high	397044
homo_sapiens	Homo Sapiens	PTPN11	3	False	OAS3	downstream	3	+		False	exact	resolved	high	428556
homo_sapiens	Homo Sapiens	PTPN11	4	False	OAS2	downstream	4	+		False	exact	resolved	high	468601
homo_sapiens	Homo Sapiens	PTPN11	5	False	DTX1	downstream	5	+		False	exact	resolved	high	546812
mus_musculus	Mus Musculus	Ptpn11	-5	False	Erp29	upstream	5	-		False	exact	resolved	high	253356
mus_musculus	Mus Musculus	Ptpn11	-4	False	Naa25	upstream	4	+		False	exact	resolved	high	206517
mus_musculus	Mus Musculus	Ptpn11	-3	False	Trafd1	upstream	3	-		False	exact	resolved	high	180328
mus_musculus	Mus Musculus	Ptpn11	-2	False	Hectd4	upstream	2	+		False	exact	resolved	high	27863
mus_musculus	Mus Musculus	Ptpn11	-1	False	Rpl6	upstream	1	+		False	exact	resolved	high	13104
mus_musculus	Mus Musculus	Ptpn11	0	True		target	0	-	gene-Ptpn11	False	target	target	target	0
mus_musculus	Mus Musculus	Ptpn11	1	False	Rph3a	downstream	1	-		False	exact	resolved	high	84347
mus_musculus	Mus Musculus	Ptpn11	2	False	Oas1d	downstream	2	+		False	exact	resolved	high	208885
mus_musculus	Mus Musculus	Ptpn11	3	False	Oas1a	downstream	3	-		False	exact	resolved	high	223008
mus_musculus	Mus Musculus	Ptpn11	4	False	Oas1g	downstream	4	-		False	exact	resolved	high	242920
mus_musculus	Mus Musculus	Ptpn11	5	False	Oas1h	downstream	5	+		False	exact	resolved	high	257027
rattus_norvegicus	Rattus Norvegicus	Ptpn11	-5	False	LOC100364561	upstream	5	+		True	placeholder	resolved	position_only	225914
rattus_norvegicus	Rattus Norvegicus	Ptpn11	-4	False	Hectd4	upstream	4	-		False	exact	resolved	high	34495
rattus_norvegicus	Rattus Norvegicus	Ptpn11	-3	False	LOC100909911	upstream	3	-		True	placeholder	resolved	position_only	208973
rattus_norvegicus	Rattus Norvegicus	Ptpn11	-2	False	Trafd1	upstream	2	+		False	exact	resolved	high	185910
rattus_norvegicus	Rattus Norvegicus	Ptpn11	-1	False	Rpl6	upstream	1	-		False	exact	resolved	high	13323
rattus_norvegicus	Rattus Norvegicus	Ptpn11	0	True		target	0	+	gene-Ptpn11	False	target	target	target	0
rattus_norvegicus	Rattus Norvegicus	Ptpn11	1	False	Rph3a	downstream	1	+		False	exact	resolved	high	117427
rattus_norvegicus	Rattus Norvegicus	Ptpn11	2	False	Oas1i	downstream	2	+		False	exact	resolved	high	199624
rattus_norvegicus	Rattus Norvegicus	Ptpn11	3	False	Oas1d	downstream	3	-		False	exact	resolved	high	223637
rattus_norvegicus	Rattus Norvegicus	Ptpn11	4	False	Oas1a	downstream	4	+		False	exact	resolved	high	244846
rattus_norvegicus	Rattus Norvegicus	Ptpn11	5	False	Oas1h	downstream	5	-		False	exact	resolved	high	257872
