exon_label	exon_number	protein_start_aa	protein_end_aa	length_aa	genomic_start	genomic_end	transcript_id
E1	1	1	103	103			ENSMGAT00000021846
E2	2	104	167	64			ENSMGAT00000021846
E3	3	167	204	38			ENSMGAT00000021846
E4	4	204	245	42			ENSMGAT00000021846
E5	5	245	295	51			ENSMGAT00000021846
E6	6	296	361	66			ENSMGAT00000021846
E7	7	361	409	49			ENSMGAT00000021846
E8	8	410	473	64			ENSMGAT00000021846
E9	9	473	514	42			ENSMGAT00000021846
E10	10	515	571	57			ENSMGAT00000021846
E11	11	571	627	57			ENSMGAT00000021846
