species_id	scientific_name	protein_id	exon_id	exon_label	native_start	native_end	msa_start_column	msa_end_column	msa_mapping_status
homo_sapiens	Homo sapiens	ENSP00000351276	ENSP00000351276:exon1	E1	1	55	117	285	mapped
homo_sapiens	Homo sapiens	ENSP00000351276	ENSP00000351276:exon2	E2	56	91	286	321	mapped
homo_sapiens	Homo sapiens	ENSP00000351276	ENSP00000351276:exon3	E3	91	137	321	371	mapped
homo_sapiens	Homo sapiens	ENSP00000351276	ENSP00000351276:exon4	E4	137	160	371	396	mapped
homo_sapiens	Homo sapiens	ENSP00000351276	ENSP00000351276:exon5	E5	161	201	397	437	mapped
homo_sapiens	Homo sapiens	ENSP00000351276	ENSP00000351276:exon6	E6	202	265	438	501	mapped
homo_sapiens	Homo sapiens	ENSP00000351276	ENSP00000351276:exon7	E7	265	302	501	538	mapped
homo_sapiens	Homo sapiens	ENSP00000351276	ENSP00000351276:exon8	E8	302	343	538	579	mapped
homo_sapiens	Homo sapiens	ENSP00000351276	ENSP00000351276:exon9	E9	343	393	579	634	mapped
homo_sapiens	Homo sapiens	ENSP00000351276	ENSP00000351276:exon10	E10	394	461	635	702	mapped
homo_sapiens	Homo sapiens	ENSP00000351276	ENSP00000351276:exon11	E11	461	510	702	751	mapped
homo_sapiens	Homo sapiens	ENSP00000351276	ENSP00000351276:exon12	E12	511	574	752	815	mapped
homo_sapiens	Homo sapiens	ENSP00000351276	ENSP00000351276:exon13	E13	574	615	815	856	mapped
homo_sapiens	Homo sapiens	ENSP00000351276	ENSP00000351276:exon14	E14	616	672	857	913	mapped
homo_sapiens	Homo sapiens	ENSP00000351276	ENSP00000351276:exon15	E15	672	698	913	939	mapped
homo_sapiens	Homo sapiens	ENSP00000351276	ENSP00000351276:exon16	E16	698	787	939	1030	mapped
homo_sapiens	Homo sapiens	ENSP00000351276	ENSP00000351276:exon17	E17	787	821	1030	1091	mapped
pan_troglodytes	Pan troglodytes	XP_054516514.1	XP_054516514.1:exon1	E1	1	56	94	159	mapped
pan_troglodytes	Pan troglodytes	XP_054516514.1	XP_054516514.1:exon2	E2	56	145	159	356	mapped
pan_troglodytes	Pan troglodytes	XP_054516514.1	XP_054516514.1:exon3	E3	145	171	356	388	mapped
pan_troglodytes	Pan troglodytes	XP_054516514.1	XP_054516514.1:exon4	E4	171	227	388	444	mapped
pan_troglodytes	Pan troglodytes	XP_054516514.1	XP_054516514.1:exon5	E5	228	269	445	486	mapped
pan_troglodytes	Pan troglodytes	XP_054516514.1	XP_054516514.1:exon6	E6	269	332	486	549	mapped
pan_troglodytes	Pan troglodytes	XP_054516514.1	XP_054516514.1:exon7	E7	333	382	550	604	mapped
pan_troglodytes	Pan troglodytes	XP_054516514.1	XP_054516514.1:exon8	E8	382	450	604	672	mapped
pan_troglodytes	Pan troglodytes	XP_054516514.1	XP_054516514.1:exon9	E9	450	500	672	722	mapped
pan_troglodytes	Pan troglodytes	XP_054516514.1	XP_054516514.1:exon10	E10	500	541	722	763	mapped
pan_troglodytes	Pan troglodytes	XP_054516514.1	XP_054516514.1:exon11	E11	541	578	763	800	mapped
pan_troglodytes	Pan troglodytes	XP_054516514.1	XP_054516514.1:exon12	E12	578	641	800	863	mapped
pan_troglodytes	Pan troglodytes	XP_054516514.1	XP_054516514.1:exon13	E13	642	682	864	904	mapped
pan_troglodytes	Pan troglodytes	XP_054516514.1	XP_054516514.1:exon14	E14	683	706	905	928	mapped
pan_troglodytes	Pan troglodytes	XP_054516514.1	XP_054516514.1:exon15	E15	706	752	928	974	mapped
pan_troglodytes	Pan troglodytes	XP_054516514.1	XP_054516514.1:exon16	E16	752	787	974	1009	mapped
pan_troglodytes	Pan troglodytes	XP_054516514.1	XP_054516514.1:exon17	E17	788	840	1010	1091	mapped
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	XP_004050253.1	XP_004050253.1:exon1	E1	1	55	94	158	mapped
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	XP_004050253.1	XP_004050253.1:exon2	E2	56	91	159	423	mapped
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	XP_004050253.1	XP_004050253.1:exon3	E3	91	137	423	469	mapped
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	XP_004050253.1	XP_004050253.1:exon4	E4	137	160	469	492	mapped
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	XP_004050253.1	XP_004050253.1:exon5	E5	161	201	493	533	mapped
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	XP_004050253.1	XP_004050253.1:exon6	E6	202	265	534	599	mapped
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	XP_004050253.1	XP_004050253.1:exon7	E7	265	302	599	639	mapped
gorilla_gorilla_gorilla	Gorilla gorilla gorilla	XP_004050253.1	XP_004050253.1:exon8	E8	302	343	639	682	mapped
