species	isoform	protein_id	expected_signal_peptide_found	signal_region_supported	expected_ig_like_domain_count	transmembrane_found	pytmhmm_tm_found	interpro_tm_found	tm_agreement	receptor_tm_start_aa	receptor_tm_end_aa	kinase_found	domain_order_status	cassette_slot_position_status	exon_domain_mapping_status	exon_block_display_status	warnings	final_qc_status
alligator_mississippiensis	IIIb	XP_059586053.1	False	True	3	True	True	False	pytmhmm_only	396	418	True	plausible	upstream_of_tm_ok	mapped	figure3C_native	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering)	architecture_supported
alligator_mississippiensis	IIIc	XP_006266188.1	False	True	3	True	True	False	pytmhmm_only	395	417	True	plausible	upstream_of_tm_ok	mapped	minor_length_clamped	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); final coding-exon block end clamped to protein length (+1/+2 aa codon-boundary rounding); coordinates otherwise unchanged	architecture_supported
ambystoma_mexicanum	IIIb	XP_069468054.1	False	True	3	True	True	False	pytmhmm_only	393	415	True	plausible	upstream_of_tm_ok	mapped	figure3C_native	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering)	architecture_supported
ambystoma_mexicanum	IIIc	XP_069468056.1	False	True	3	True	True	False	pytmhmm_only	391	413	True	plausible	upstream_of_tm_ok	mapped	native_exon_blocks_reconstructed	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); coding-exon blocks reconstructed from native CDS (display-coordinate sanitation); biology unchanged	architecture_supported
anolis_carolinensis	IIIb	XP_062832082.1	False	False	3	True	True	False	pytmhmm_only	426	448	True	plausible	upstream_of_tm_ok	mapped	minor_length_clamped	signal peptide not annotated (no signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); final coding-exon block end clamped to protein length (+1/+2 aa codon-boundary rounding); coordinates otherwise unchanged	architecture_supported_with_minor_flags
anolis_carolinensis	IIIc	XP_062832081.1	False	False	3	True	True	False	pytmhmm_only	426	448	True	plausible	upstream_of_tm_ok	mapped	minor_length_clamped	signal peptide not annotated (no signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); final coding-exon block end clamped to protein length (+1/+2 aa codon-boundary rounding); coordinates otherwise unchanged	architecture_supported_with_minor_flags
bos_taurus	IIIb	XP_059737723.1	False	True	3	True	True	False	pytmhmm_only	394	416	True	plausible	upstream_of_tm_ok	mapped	figure3C_native	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering)	architecture_supported
bos_taurus	IIIc	XP_059737724.1	False	True	3	True	True	False	pytmhmm_only	393	415	True	plausible	upstream_of_tm_ok	mapped	minor_length_clamped	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); final coding-exon block end clamped to protein length (+1/+2 aa codon-boundary rounding); coordinates otherwise unchanged	architecture_supported
callithrix_jacchus	IIIb	XP_078202760.1	False	True	3	True	True	False	pytmhmm_only	394	416	True	plausible	upstream_of_tm_ok	mapped	figure3C_native	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering)	architecture_supported
callithrix_jacchus	IIIc	XP_078202765.1	False	True	3	True	True	False	pytmhmm_only	393	415	True	plausible	upstream_of_tm_ok	mapped	minor_length_clamped	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); final coding-exon block end clamped to protein length (+1/+2 aa codon-boundary rounding); coordinates otherwise unchanged	architecture_supported
canis_lupus_familiaris	IIIb	NP_001003336.1	False	False	2	True	True	False	pytmhmm_only	260	282	True	plausible	upstream_of_tm_ok	cassette_only	cassette_only_high_confidence	signal peptide not annotated (no signal-peptide predictor); only 2 Ig-like region(s) detected (FGFR2 expects ~3); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); cassette boundary precision: unknown_codon_phase; native exon-block display low-confidence; cassette coordinate validated separately	architecture_supported_with_minor_flags
chrysemys_picta_bellii	IIIb	XP_023965681.1	False	True	3	True	True	False	pytmhmm_only	391	413	True	plausible	upstream_of_tm_ok	mapped	native_exon_blocks_reconstructed	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering); coding-exon blocks reconstructed from native CDS (display-coordinate sanitation); biology unchanged	architecture_supported
chrysemys_picta_bellii	IIIc	XP_065408413.1	False	True	3	True	True	False	pytmhmm_only	393	415	True	plausible	upstream_of_tm_ok	mapped	figure3C_native	signal region supported by N-terminal pyTMHMM anchor (no dedicated signal-peptide predictor); Ig1/Ig2/Ig3 numbering positional only (no CDD FGFR-specific Ig numbering)	architecture_supported
